APVA Information Decay Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Half-Life Table
StateAgeNode | HalfLife_6E | HalfLife_CL | HalfLife_NQ | MeanHalfLife | ReplicationCount | ReplicationPercent
CompressionProcessing_Age1 | 3 | 2 | 3 | 2.67 | 3 | 100.00%
CompressionProcessing_Age11-20 | 2 | N/A | N/A | 2.00 | 1 | 33.33%
CompressionProcessing_Age2 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
CompressionProcessing_Age3 | 3 | 3 | 2 | 2.67 | 3 | 100.00%
CompressionProcessing_Age4 | 2 | 2 | 2 | 2.00 | 3 | 100.00%
CompressionProcessing_Age5 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
CompressionProcessing_Age6-10 | 2 | 2 | 2 | 2.00 | 3 | 100.00%
ConstructiveEmergence_Age1 | 3 | 2 | 2 | 2.33 | 3 | 100.00%
DecayToNeutral_Age1 | 5 | 2 | 3 | 3.33 | 3 | 100.00%
DestructiveRotation_Age1 | 3 | 3 | 5 | 3.67 | 3 | 100.00%
DestructiveRotation_Age2 | 3 | 2 | 5 | 3.33 | 3 | 100.00%
DestructiveRotation_Age3 | 2 | 3 | 3 | 2.67 | 3 | 100.00%
DestructiveRotation_Age4 | 2 | N/A | N/A | 2.00 | 1 | 33.33%
ExhaustionPersistence_Age1 | 10+ | 3 | 8 | 7.33 | 3 | 100.00%
ExhaustionPersistence_Age2 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
ExhaustionPersistence_Age3 | 2 | 2 | 3 | 2.33 | 3 | 100.00%
ExhaustionPersistence_Age4 | 2 | 2 | 3 | 2.33 | 3 | 100.00%
ExhaustionPersistence_Age5 | 5 | 3 | 2 | 3.33 | 3 | 100.00%
ExhaustionPersistence_Age6-10 | 3 | 2 | 2 | 2.33 | 3 | 100.00%
MixedStructure_Age1 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
MixedStructure_Age2 | 10+ | 5 | 10 | 8.67 | 3 | 100.00%
MixedStructure_Age3 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
MixedStructure_Age4 | 8 | 2 | 2 | 4.00 | 3 | 100.00%
MixedStructure_Age5 | 5 | N/A | N/A | 5.00 | 1 | 33.33%
NeutralProcessing_Age1 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
NeutralProcessing_Age11-20 | 5 | 3 | 3 | 3.67 | 3 | 100.00%
NeutralProcessing_Age2 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
NeutralProcessing_Age21+ | 5 | N/A | N/A | 5.00 | 1 | 33.33%
NeutralProcessing_Age3 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
NeutralProcessing_Age4 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
NeutralProcessing_Age5 | 5 | 3 | 3 | 3.67 | 3 | 100.00%
NeutralProcessing_Age6-10 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
ReassertionProcessing_Age1 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
ReassertionProcessing_Age2 | 3 | 2 | 2 | 2.33 | 3 | 100.00%
ReassertionProcessing_Age3 | 2 | 2 | 2 | 2.00 | 3 | 100.00%
RecoveryResolution_Age1 | 5 | 5 | 5 | 5.00 | 3 | 100.00%
RecoveryResolution_Age2 | 3 | 3 | 3 | 3.00 | 3 | 100.00%
RecoveryResolution_Age3 | 3 | 3 | 2 | 2.67 | 3 | 100.00%
RecoveryResolution_Age4 | 3 | 5 | N/A | 4.00 | 2 | 66.67%
RecoveryResolution_Age5 | 3 | N/A | N/A | 3.00 | 1 | 33.33%
RecoveryResolution_Age6-10 | 2 | N/A | N/A | 2.00 | 1 | 33.33%

Aggregate Memory Strength Table
StateAgeNode | MemoryStrength_6E | MemoryStrength_CL | MemoryStrength_NQ | MeanMemoryStrength
CompressionProcessing_Age3 | MeanHalfLife=2.67 | ReplicationCount=3
DestructiveRotation_Age3 | MeanHalfLife=2.67 | ReplicationCount=3
RecoveryResolution_Age3 | MeanHalfLife=2.67 | ReplicationCount=3
CompressionProcessing_Age2 | MeanHalfLife=3.00 | ReplicationCount=3
CompressionProcessing_Age5 | MeanHalfLife=3.00 | ReplicationCount=3
ExhaustionPersistence_Age2 | MeanHalfLife=3.00 | ReplicationCount=3
MixedStructure_Age1 | MeanHalfLife=3.00 | ReplicationCount=3
MixedStructure_Age3 | MeanHalfLife=3.00 | ReplicationCount=3

3. Strongest-memory states
NeutralProcessing | MeanMemoryStrength=0.2836 | MeanHalfLife=4.09
RecoveryResolution | MeanMemoryStrength=0.2589 | MeanHalfLife=3.46
DecayToNeutral | MeanMemoryStrength=0.2160 | MeanHalfLife=3.33
MixedStructure | MeanMemoryStrength=0.2123 | MeanHalfLife=4.69
ExhaustionPersistence | MeanMemoryStrength=0.2083 | MeanHalfLife=3.44
CompressionProcessing | MeanMemoryStrength=0.2047 | MeanHalfLife=2.53
DestructiveRotation | MeanMemoryStrength=0.1999 | MeanHalfLife=3.10
ReassertionProcessing | MeanMemoryStrength=0.1957 | MeanHalfLife=2.44
ConstructiveEmergence | MeanMemoryStrength=0.1834 | MeanHalfLife=2.33

4. Weakest-memory states
ConstructiveEmergence | MeanMemoryStrength=0.1834 | MeanHalfLife=2.33
ReassertionProcessing | MeanMemoryStrength=0.1957 | MeanHalfLife=2.44
DestructiveRotation | MeanMemoryStrength=0.1999 | MeanHalfLife=3.10
CompressionProcessing | MeanMemoryStrength=0.2047 | MeanHalfLife=2.53
ExhaustionPersistence | MeanMemoryStrength=0.2083 | MeanHalfLife=3.44
MixedStructure | MeanMemoryStrength=0.2123 | MeanHalfLife=4.69
DecayToNeutral | MeanMemoryStrength=0.2160 | MeanHalfLife=3.33
RecoveryResolution | MeanMemoryStrength=0.2589 | MeanHalfLife=3.46
NeutralProcessing | MeanMemoryStrength=0.2836 | MeanHalfLife=4.09

5. Fastest entropy growth
DestructiveRotation_Age4 | MeanEntropyGrowth=2.9024
MixedStructure_Age5 | MeanEntropyGrowth=2.9024
ReassertionProcessing_Age3 | MeanEntropyGrowth=2.8211
RecoveryResolution_Age4 | MeanEntropyGrowth=2.5732
NeutralProcessing_Age4 | MeanEntropyGrowth=2.5584
RecoveryResolution_Age5 | MeanEntropyGrowth=2.4569
DestructiveRotation_Age3 | MeanEntropyGrowth=2.3927
RecoveryResolution_Age2 | MeanEntropyGrowth=2.3158
ExhaustionPersistence_Age2 | MeanEntropyGrowth=2.2804
NeutralProcessing_Age5 | MeanEntropyGrowth=2.2559
ExhaustionPersistence_Age3 | MeanEntropyGrowth=2.2527
RecoveryResolution_Age6-10 | MeanEntropyGrowth=2.2353
MixedStructure_Age4 | MeanEntropyGrowth=2.2321
NeutralProcessing_Age21+ | MeanEntropyGrowth=2.1309
NeutralProcessing_Age3 | MeanEntropyGrowth=2.1072
RecoveryResolution_Age3 | MeanEntropyGrowth=2.0844
RecoveryResolution_Age1 | MeanEntropyGrowth=1.9568
ReassertionProcessing_Age2 | MeanEntropyGrowth=1.9441
NeutralProcessing_Age11-20 | MeanEntropyGrowth=1.8886
DecayToNeutral_Age1 | MeanEntropyGrowth=1.8806

6. Slowest entropy growth
DestructiveRotation_Age1 | MeanEntropyGrowth=1.1592
MixedStructure_Age1 | MeanEntropyGrowth=1.1607
MixedStructure_Age2 | MeanEntropyGrowth=1.2639
ExhaustionPersistence_Age1 | MeanEntropyGrowth=1.2991
DestructiveRotation_Age2 | MeanEntropyGrowth=1.3296
ExhaustionPersistence_Age4 | MeanEntropyGrowth=1.4841
CompressionProcessing_Age4 | MeanEntropyGrowth=1.5087
CompressionProcessing_Age5 | MeanEntropyGrowth=1.5301
ReassertionProcessing_Age1 | MeanEntropyGrowth=1.5479
ExhaustionPersistence_Age5 | MeanEntropyGrowth=1.5700
NeutralProcessing_Age1 | MeanEntropyGrowth=1.6554
MixedStructure_Age3 | MeanEntropyGrowth=1.6953
CompressionProcessing_Age2 | MeanEntropyGrowth=1.7003
CompressionProcessing_Age6-10 | MeanEntropyGrowth=1.7221
CompressionProcessing_Age3 | MeanEntropyGrowth=1.7245
NeutralProcessing_Age6-10 | MeanEntropyGrowth=1.7267
NeutralProcessing_Age2 | MeanEntropyGrowth=1.7486
CompressionProcessing_Age1 | MeanEntropyGrowth=1.7776
ExhaustionPersistence_Age6-10 | MeanEntropyGrowth=1.7867
CompressionProcessing_Age11-20 | MeanEntropyGrowth=1.8555

7. Strongest age effects
RecoveryResolution | MemoryStrengthSpread=0.1358
ExhaustionPersistence | MemoryStrengthSpread=0.1966
CompressionProcessing | MemoryStrengthSpread=0.1723
NeutralProcessing | MemoryStrengthSpread=0.1797
ReassertionProcessing | MemoryStrengthSpread=0.2778
DecayToNeutral | MemoryStrengthSpread=0.0821
DestructiveRotation | MemoryStrengthSpread=0.2556
ConstructiveEmergence | MemoryStrengthSpread=0.0488
MixedStructure | MemoryStrengthSpread=0.2889

8. Best Young/Middle/Late model
Middle | MeanMemoryStrength=0.2386 | MeanHalfLife=3.17
Young | MeanMemoryStrength=0.2194 | MeanHalfLife=3.85
Late | MeanMemoryStrength=0.2143 | MeanHalfLife=2.80

9. Most replicated memory patterns
CompressionProcessing_Age1 | ReplicationCount=3 | MeanMemoryStrength=0.2023
CompressionProcessing_Age2 | ReplicationCount=3 | MeanMemoryStrength=0.2106
CompressionProcessing_Age3 | ReplicationCount=3 | MeanMemoryStrength=0.2227
CompressionProcessing_Age4 | ReplicationCount=3 | MeanMemoryStrength=0.1969
CompressionProcessing_Age5 | ReplicationCount=3 | MeanMemoryStrength=0.2000
CompressionProcessing_Age6-10 | ReplicationCount=3 | MeanMemoryStrength=0.1787
ConstructiveEmergence_Age1 | ReplicationCount=3 | MeanMemoryStrength=0.1834
DecayToNeutral_Age1 | ReplicationCount=3 | MeanMemoryStrength=0.2160
DestructiveRotation_Age1 | ReplicationCount=3 | MeanMemoryStrength=0.1766
DestructiveRotation_Age2 | ReplicationCount=3 | MeanMemoryStrength=0.2547
DestructiveRotation_Age3 | ReplicationCount=3 | MeanMemoryStrength=0.2165
ExhaustionPersistence_Age1 | ReplicationCount=3 | MeanMemoryStrength=0.1885
ExhaustionPersistence_Age2 | ReplicationCount=3 | MeanMemoryStrength=0.2871
ExhaustionPersistence_Age3 | ReplicationCount=3 | MeanMemoryStrength=0.1808
ExhaustionPersistence_Age4 | ReplicationCount=3 | MeanMemoryStrength=0.2194
ExhaustionPersistence_Age5 | ReplicationCount=3 | MeanMemoryStrength=0.1971
ExhaustionPersistence_Age6-10 | ReplicationCount=3 | MeanMemoryStrength=0.1767
MixedStructure_Age1 | ReplicationCount=3 | MeanMemoryStrength=0.1832
MixedStructure_Age2 | ReplicationCount=3 | MeanMemoryStrength=0.1846
MixedStructure_Age3 | ReplicationCount=3 | MeanMemoryStrength=0.2374
MixedStructure_Age4 | ReplicationCount=3 | MeanMemoryStrength=0.2037
NeutralProcessing_Age1 | ReplicationCount=3 | MeanMemoryStrength=0.2236
NeutralProcessing_Age11-20 | ReplicationCount=3 | MeanMemoryStrength=0.2299
NeutralProcessing_Age2 | ReplicationCount=3 | MeanMemoryStrength=0.2782
NeutralProcessing_Age3 | ReplicationCount=3 | MeanMemoryStrength=0.3553
NeutralProcessing_Age4 | ReplicationCount=3 | MeanMemoryStrength=0.3557
NeutralProcessing_Age5 | ReplicationCount=3 | MeanMemoryStrength=0.3173
NeutralProcessing_Age6-10 | ReplicationCount=3 | MeanMemoryStrength=0.2124
ReassertionProcessing_Age1 | ReplicationCount=3 | MeanMemoryStrength=0.1843
ReassertionProcessing_Age2 | ReplicationCount=3 | MeanMemoryStrength=0.2029

10. Recommended APVA memory model
State+Age+TransitionMemory: MeanHalfLife=3.42 bars; MeanMemoryStrength=0.2269; MeanEntropyGrowth=1.8758; CrossInstrumentReplication=3 instruments.

Low-DoF Audit
Variables used:
StructuralState
AgeBucket
TransitionProbability

No Context
No Arbitration
No Persistence
No Phase
No Optimization
No Fitting
No Machine Learning
No Forward Returns used in memory modeling

Research Notes
- How long does structural information survive? See the half-life tables.
- Which states have long or short memory? See state summaries and rankings.
- Does age alter memory? See age-effect rows and strength spreads.
- Do long-memory states forecast better? See memory-strength correlations.
- Does entropy growth explain forecast deterioration? See entropy growth and correlation.
- Can APVA be reduced to State + Age + Transition Memory? This report tests that representation mechanically.
