BarIndex,Time,Quadruplet,TrajectoryCluster,Archetype,ExpectancyFamily,Count,ConditionalProbability,FinalTransition,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,DominantNextArchetype,RegimeMigrationProbability,IsSelfLoopDominant,Implication,ActionBias,SoftArchetype,SoftVoteSimilarity,SoftMeanDistance,NearestNeighbor,NearestNeighborArchetype,Implication_Soft,ActionBias_Soft,ResolvedArchetype,ResolvedActionBias,ResolvedImplication
387,2026-04-10 08:50:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
388,2026-04-10 08:55:00,Unresolved->Unresolved->Unresolved->Directional,3,Directional Continuation / Sponsor Release,DirectionalContinuation,6,2.88,Unresolved->Directional,3.13,25.0,75.0,Directional Continuation / Sponsor Release,0.5235294117647059,1,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.,,,,,,,,Directional Continuation / Sponsor Release,Continuation favored while degradation remains contained.,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored."
389,2026-04-10 09:00:00,Unresolved->Unresolved->Directional->Directional,3,Directional Continuation / Sponsor Release,Mixed,5,71.43,Directional->Directional,0.0,0.0,0.0,Directional Continuation / Sponsor Release,0.5235294117647059,1,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.,,,,,,,,Directional Continuation / Sponsor Release,Continuation favored while degradation remains contained.,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored."
390,2026-04-10 09:05:00,Unresolved->Directional->Directional->Unresolved,-1,Unknown,Unknown,0,0.0,Directional->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,0.6619663695850895,3.536834113471547,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
391,2026-04-10 09:10:00,Directional->Directional->Unresolved->Unresolved,2,Stable Compression Basin,Mixed,1,100.0,Unresolved->Unresolved,0.0,0.0,0.0,Stable Compression Basin,0.5446293494704992,1,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.,Monitor compression quality; prepare but do not anticipate prematurely.,,,,,,,,Stable Compression Basin,Monitor compression quality; prepare but do not anticipate prematurely.,Auction is in a stable compression basin. Non-directional persistence is likely. This may mature into later directional release.
392,2026-04-10 09:15:00,Directional->Unresolved->Unresolved->Unresolved,-1,Unknown,Unknown,0,0.0,Unresolved->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,1.5632755921387904,2.2869225193952154,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
393,2026-04-10 09:20:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
394,2026-04-10 09:25:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
395,2026-04-10 09:30:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
396,2026-04-10 09:35:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
397,2026-04-10 09:40:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
398,2026-04-10 09:45:00,Unresolved->Unresolved->Unresolved->Directional,3,Directional Continuation / Sponsor Release,DirectionalContinuation,6,2.88,Unresolved->Directional,3.13,25.0,75.0,Directional Continuation / Sponsor Release,0.5235294117647059,1,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.,,,,,,,,Directional Continuation / Sponsor Release,Continuation favored while degradation remains contained.,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored."
399,2026-04-10 09:50:00,Unresolved->Unresolved->Directional->Unresolved,-1,Unknown,Unknown,0,0.0,Directional->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,0.6347147641673787,3.730201544127926,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
400,2026-04-10 09:55:00,Unresolved->Directional->Unresolved->Unresolved,-1,Unknown,Unknown,0,0.0,Unresolved->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,0.6347147641673787,3.730201544127926,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
401,2026-04-10 10:00:00,Directional->Unresolved->Unresolved->Unresolved,-1,Unknown,Unknown,0,0.0,Unresolved->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,1.5632755921387904,2.2869225193952154,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
402,2026-04-10 10:05:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
403,2026-04-10 10:10:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
404,2026-04-10 10:15:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
405,2026-04-10 10:20:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
406,2026-04-10 10:25:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
407,2026-04-10 10:30:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
408,2026-04-10 10:35:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
409,2026-04-10 10:40:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
410,2026-04-10 10:45:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
411,2026-04-10 10:50:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
412,2026-04-10 10:55:00,Unresolved->Unresolved->Unresolved->Directional,3,Directional Continuation / Sponsor Release,DirectionalContinuation,6,2.88,Unresolved->Directional,3.13,25.0,75.0,Directional Continuation / Sponsor Release,0.5235294117647059,1,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored.",Continuation favored while degradation remains contained.,,,,,,,,Directional Continuation / Sponsor Release,Continuation favored while degradation remains contained.,"Auction shows directional continuation structure. Sponsor release is active, but degradation must be monitored."
413,2026-04-10 11:00:00,Unresolved->Unresolved->Directional->Unresolved,-1,Unknown,Unknown,0,0.0,Directional->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,0.6347147641673787,3.730201544127926,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
414,2026-04-10 11:05:00,Unresolved->Directional->Unresolved->Unresolved,-1,Unknown,Unknown,0,0.0,Unresolved->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,0.6347147641673787,3.730201544127926,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
415,2026-04-10 11:10:00,Directional->Unresolved->Unresolved->Unresolved,-1,Unknown,Unknown,0,0.0,Unresolved->Unresolved,0.0,0.0,0.0,Unknown,0.4854771784232365,1,No inference rule available.,No action bias.,Persistent Non-Directional Compression,1.5632755921387904,2.2869225193952154,Directional->Directional->Unresolved->Unresolved,Persistent Non-Directional Compression,,,Persistent Non-Directional Compression,,
416,2026-04-10 11:15:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
417,2026-04-10 11:20:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
418,2026-04-10 11:25:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
419,2026-04-10 11:30:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
420,2026-04-10 11:35:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
421,2026-04-10 11:40:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
422,2026-04-10 11:45:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
423,2026-04-10 11:50:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
424,2026-04-10 11:55:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
425,2026-04-10 12:00:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
426,2026-04-10 12:05:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
427,2026-04-10 12:10:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
428,2026-04-10 12:15:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
429,2026-04-10 12:20:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
430,2026-04-10 12:25:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
431,2026-04-10 12:30:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
432,2026-04-10 12:35:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
433,2026-04-10 12:40:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
434,2026-04-10 12:45:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
435,2026-04-10 12:50:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
436,2026-04-10 12:55:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
437,2026-04-10 13:00:00,Unresolved->Unresolved->Unresolved->Unresolved,4,Pure Unresolved Compression Equilibrium,Mixed,186,89.42,Unresolved->Unresolved,0.0,0.0,0.0,Pure Unresolved Compression Equilibrium,0.9002713704206241,1,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation.",No action bias; observe for transition out of pure unresolved state.,,,,,,,,Pure Unresolved Compression Equilibrium,No action bias; observe for transition out of pure unresolved state.,"Auction is in pure unresolved compression equilibrium. This is the dominant resting basin. Await transition into compression basin, release, or degradation."
