APVA Junction Audit Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Junction Candidate Table
CurrentNode | Count | BaseDominantNextNode | BaseDominantProbability | PreviousNodeGain | BranchEntropy | ReplicationCount
RecoveryResolution_Age1 | 1219 | CompressionProcessing_Age1 | 55.70% | 32.57% | 0.9484 | 3
ReassertionProcessing_Age1 | 2080 | NeutralProcessing_Age1 | 40.58% | 15.14% | 1.3785 | 3
DestructiveRotation_Age1 | 970 | DecayToNeutral_Age1 | 29.48% | 14.43% | 1.8058 | 3
MixedStructure_Age1 | 3726 | NeutralProcessing_Age1 | 37.55% | 8.29% | 1.7596 | 3
ConstructiveEmergence_Age1 | 109 | MixedStructure_Age1 | 48.62% | 5.50% | 1.1479 | 3
ExhaustionPersistence_Age1 | 1264 | ExhaustionPersistence_Age2 | 28.01% | 5.46% | 1.6768 | 3
ExhaustionPersistence_Age6-10 | 38 | ExhaustionPersistence_Age6-10 | 39.47% | 5.26% | 1.4974 | 3
CompressionProcessing_Age1 | 3194 | CompressionProcessing_Age2 | 56.42% | 5.10% | 1.1164 | 3

Aggregate Base Branch Profile Table
CurrentNode | NextNode | Count | Probability | Rank
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 1802 | 56.42% | 1
CompressionProcessing_Age1 | NeutralProcessing_Age1 | 973 | 30.46% | 2
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 198 | 6.20% | 3
CompressionProcessing_Age1 | RecoveryResolution_Age1 | 144 | 4.51% | 4
CompressionProcessing_Age1 | MixedStructure_Age1 | 32 | 1.00% | 5
CompressionProcessing_Age1 | DestructiveRotation_Age1 | 22 | 0.69% | 6
CompressionProcessing_Age1 | ReassertionProcessing_Age1 | 19 | 0.59% | 7
CompressionProcessing_Age1 | DecayToNeutral_Age1 | 4 | 0.13% | 8
ConstructiveEmergence_Age1 | MixedStructure_Age1 | 53 | 48.62% | 1
ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 35 | 32.11% | 2
ConstructiveEmergence_Age1 | DecayToNeutral_Age1 | 15 | 13.76% | 3
ConstructiveEmergence_Age1 | CompressionProcessing_Age1 | 6 | 5.50% | 4
DestructiveRotation_Age1 | DecayToNeutral_Age1 | 286 | 29.48% | 1
DestructiveRotation_Age1 | NeutralProcessing_Age1 | 269 | 27.73% | 2
DestructiveRotation_Age1 | DestructiveRotation_Age2 | 123 | 12.68% | 3
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 108 | 11.13% | 4
DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 59 | 6.08% | 5
DestructiveRotation_Age1 | RecoveryResolution_Age1 | 49 | 5.05% | 6
DestructiveRotation_Age1 | MixedStructure_Age1 | 45 | 4.64% | 7
DestructiveRotation_Age1 | CompressionProcessing_Age1 | 28 | 2.89% | 8
DestructiveRotation_Age1 | ConstructiveEmergence_Age1 | 3 | 0.31% | 9
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 354 | 28.01% | 1
ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 274 | 21.68% | 2
ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 246 | 19.46% | 3
ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 181 | 14.32% | 4
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 155 | 12.26% | 5
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 54 | 4.27% | 6
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | 15 | 39.47% | 1
ExhaustionPersistence_Age6-10 | DecayToNeutral_Age1 | 10 | 26.32% | 2
ExhaustionPersistence_Age6-10 | NeutralProcessing_Age1 | 6 | 15.79% | 3
ExhaustionPersistence_Age6-10 | RecoveryResolution_Age1 | 4 | 10.53% | 4
ExhaustionPersistence_Age6-10 | DestructiveRotation_Age1 | 2 | 5.26% | 5
ExhaustionPersistence_Age6-10 | CompressionProcessing_Age1 | 1 | 2.63% | 6
MixedStructure_Age1 | NeutralProcessing_Age1 | 1399 | 37.55% | 1
MixedStructure_Age1 | DecayToNeutral_Age1 | 741 | 19.89% | 2
MixedStructure_Age1 | ExhaustionPersistence_Age1 | 462 | 12.40% | 3
MixedStructure_Age1 | MixedStructure_Age2 | 410 | 11.00% | 4
MixedStructure_Age1 | RecoveryResolution_Age1 | 344 | 9.23% | 5
MixedStructure_Age1 | ReassertionProcessing_Age1 | 174 | 4.67% | 6
MixedStructure_Age1 | CompressionProcessing_Age1 | 100 | 2.68% | 7
MixedStructure_Age1 | DestructiveRotation_Age1 | 72 | 1.93% | 8
MixedStructure_Age1 | ConstructiveEmergence_Age1 | 24 | 0.64% | 9
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 844 | 40.58% | 1
ReassertionProcessing_Age1 | MixedStructure_Age1 | 673 | 32.36% | 2
ReassertionProcessing_Age1 | ReassertionProcessing_Age2 | 300 | 14.42% | 3
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | 145 | 6.97% | 4
ReassertionProcessing_Age1 | CompressionProcessing_Age1 | 105 | 5.05% | 5
ReassertionProcessing_Age1 | ConstructiveEmergence_Age1 | 13 | 0.62% | 6
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 679 | 55.70% | 1
RecoveryResolution_Age1 | RecoveryResolution_Age2 | 390 | 31.99% | 2
RecoveryResolution_Age1 | NeutralProcessing_Age1 | 150 | 12.31% | 3

Aggregate Conditional Branch Table
PreviousNode | CurrentNode | NextNode | Count | ConditionalProbability | BaseProbability | ProbabilityDelta | DominantBranchChanged
CompressionProcessing_Age4 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 1 | 20.00% | 29.48% | -9.48% | True
CompressionProcessing_Age4 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 1 | 20.00% | 27.73% | -7.73% | True
CompressionProcessing_Age4 | DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 1 | 20.00% | 6.08% | 13.92% | True
CompressionProcessing_Age5 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 4 | 40.00% | 27.73% | 12.27% | True
CompressionProcessing_Age5 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 3 | 30.00% | 29.48% | 0.52% | True
CompressionProcessing_Age5 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 1 | 10.00% | 12.68% | -2.68% | True
CompressionProcessing_Age5 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 1 | 10.00% | 11.13% | -1.13% | True
CompressionProcessing_Age5 | DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 1 | 10.00% | 6.08% | 3.92% | True
CompressionProcessing_Age6-10 | DestructiveRotation_Age1 | CompressionProcessing_Age1 | 1 | 50.00% | 2.89% | 47.11% | True
CompressionProcessing_Age6-10 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 1 | 50.00% | 29.48% | 20.52% | True
DecayToNeutral_Age1 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 88 | 61.11% | 29.48% | 31.63% | False
DecayToNeutral_Age1 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 21 | 14.58% | 12.68% | 1.90% | False
DecayToNeutral_Age1 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 19 | 13.19% | 11.13% | 2.06% | False
DecayToNeutral_Age1 | DestructiveRotation_Age1 | RecoveryResolution_Age1 | 9 | 6.25% | 5.05% | 1.20% | False
DecayToNeutral_Age1 | DestructiveRotation_Age1 | MixedStructure_Age1 | 4 | 2.78% | 4.64% | -1.86% | False
DecayToNeutral_Age1 | DestructiveRotation_Age1 | CompressionProcessing_Age1 | 3 | 2.08% | 2.89% | -0.80% | False
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 31 | 57.41% | 29.48% | 27.92% | False
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 17 | 31.48% | 12.68% | 18.80% | False
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | CompressionProcessing_Age1 | 6 | 11.11% | 2.89% | 8.22% | False
ExhaustionPersistence_Age4 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 9 | 100.00% | 29.48% | 70.52% | False
ExhaustionPersistence_Age5 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 3 | 42.86% | 29.48% | 13.37% | False
ExhaustionPersistence_Age5 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 2 | 28.57% | 11.13% | 17.44% | False
ExhaustionPersistence_Age5 | DestructiveRotation_Age1 | MixedStructure_Age1 | 2 | 28.57% | 4.64% | 23.93% | False
ExhaustionPersistence_Age6-10 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 2 | 100.00% | 29.48% | 70.52% | False
MixedStructure_Age1 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 23 | 31.94% | 29.48% | 2.46% | False
MixedStructure_Age1 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 22 | 30.56% | 27.73% | 2.82% | False
MixedStructure_Age1 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 21 | 29.17% | 12.68% | 16.49% | False
MixedStructure_Age1 | DestructiveRotation_Age1 | CompressionProcessing_Age1 | 3 | 4.17% | 2.89% | 1.28% | False
MixedStructure_Age1 | DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 3 | 4.17% | 6.08% | -1.92% | False
MixedStructure_Age2 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 2 | 66.67% | 29.48% | 37.18% | False
MixedStructure_Age2 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 1 | 33.33% | 12.68% | 20.65% | False
MixedStructure_Age3 | DestructiveRotation_Age1 | CompressionProcessing_Age1 | 1 | 50.00% | 2.89% | 47.11% | True
MixedStructure_Age3 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 1 | 50.00% | 29.48% | 20.52% | True
MixedStructure_Age4 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 1 | 100.00% | 12.68% | 87.32% | True
NeutralProcessing_Age1 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 85 | 32.08% | 27.73% | 4.34% | True
NeutralProcessing_Age1 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 60 | 22.64% | 29.48% | -6.84% | True
NeutralProcessing_Age1 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 46 | 17.36% | 11.13% | 6.22% | True
NeutralProcessing_Age1 | DestructiveRotation_Age1 | MixedStructure_Age1 | 26 | 9.81% | 4.64% | 5.17% | True
NeutralProcessing_Age1 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 24 | 9.06% | 12.68% | -3.62% | True
NeutralProcessing_Age1 | DestructiveRotation_Age1 | RecoveryResolution_Age1 | 19 | 7.17% | 5.05% | 2.12% | True
NeutralProcessing_Age1 | DestructiveRotation_Age1 | CompressionProcessing_Age1 | 5 | 1.89% | 2.89% | -1.00% | True
NeutralProcessing_Age2 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 28 | 59.57% | 27.73% | 31.84% | True
NeutralProcessing_Age2 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 12 | 25.53% | 11.13% | 14.40% | True
NeutralProcessing_Age2 | DestructiveRotation_Age1 | RecoveryResolution_Age1 | 4 | 8.51% | 5.05% | 3.46% | True
NeutralProcessing_Age2 | DestructiveRotation_Age1 | CompressionProcessing_Age1 | 1 | 2.13% | 2.89% | -0.76% | True
NeutralProcessing_Age2 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 1 | 2.13% | 12.68% | -10.55% | True
NeutralProcessing_Age2 | DestructiveRotation_Age1 | MixedStructure_Age1 | 1 | 2.13% | 4.64% | -2.51% | True
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 57 | 39.31% | 27.73% | 11.58% | True
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 29 | 20.00% | 6.08% | 13.92% | True
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 23 | 15.86% | 29.48% | -13.62% | True
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | MixedStructure_Age1 | 11 | 7.59% | 4.64% | 2.95% | True
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 8 | 5.52% | 11.13% | -5.62% | True
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | RecoveryResolution_Age1 | 6 | 4.14% | 5.05% | -0.91% | True
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | CompressionProcessing_Age1 | 5 | 3.45% | 2.89% | 0.56% | True
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | ConstructiveEmergence_Age1 | 3 | 2.07% | 0.31% | 1.76% | True
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 3 | 2.07% | 12.68% | -10.61% | True
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 67 | 45.89% | 27.73% | 18.16% | True
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 23 | 15.75% | 12.68% | 3.07% | True
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 21 | 14.38% | 29.48% | -15.10% | True
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 20 | 13.70% | 6.08% | 7.62% | True
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 10 | 6.85% | 11.13% | -4.28% | True
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | RecoveryResolution_Age1 | 4 | 2.74% | 5.05% | -2.31% | True
ReassertionProcessing_Age2 | DestructiveRotation_Age1 | CompressionProcessing_Age1 | 1 | 0.68% | 2.89% | -2.20% | True
ReassertionProcessing_Age3 | DestructiveRotation_Age1 | ReassertionProcessing_Age1 | 5 | 31.25% | 6.08% | 25.17% | True
ReassertionProcessing_Age3 | DestructiveRotation_Age1 | DestructiveRotation_Age2 | 3 | 18.75% | 12.68% | 6.07% | True
ReassertionProcessing_Age3 | DestructiveRotation_Age1 | NeutralProcessing_Age1 | 3 | 18.75% | 27.73% | -8.98% | True
ReassertionProcessing_Age3 | DestructiveRotation_Age1 | CompressionProcessing_Age1 | 2 | 12.50% | 2.89% | 9.61% | True
ReassertionProcessing_Age3 | DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | 2 | 12.50% | 11.13% | 1.37% | True
ReassertionProcessing_Age3 | DestructiveRotation_Age1 | DecayToNeutral_Age1 | 1 | 6.25% | 29.48% | -23.23% | True
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 62 | 31.31% | 12.26% | 19.05% | True
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 60 | 30.30% | 28.01% | 2.30% | True
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 34 | 17.17% | 21.68% | -4.51% | True
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 32 | 16.16% | 14.32% | 1.84% | True
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 6 | 3.03% | 19.46% | -16.43% | True
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 4 | 2.02% | 4.27% | -2.25% | True
CompressionProcessing_Age11-20 | ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 2 | 100.00% | 12.26% | 87.74% | True
CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 43 | 33.86% | 12.26% | 21.60% | True
CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 36 | 28.35% | 28.01% | 0.34% | True
CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 33 | 25.98% | 21.68% | 4.31% | True
CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 13 | 10.24% | 19.46% | -9.23% | True
CompressionProcessing_Age2 | ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 2 | 1.57% | 4.27% | -2.70% | True
CompressionProcessing_Age3 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 25 | 34.25% | 28.01% | 6.24% | False
CompressionProcessing_Age3 | ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 22 | 30.14% | 12.26% | 17.87% | False
CompressionProcessing_Age3 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 18 | 24.66% | 21.68% | 2.98% | False
CompressionProcessing_Age3 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 8 | 10.96% | 19.46% | -8.50% | False
CompressionProcessing_Age4 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 13 | 34.21% | 19.46% | 14.75% | True
CompressionProcessing_Age4 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 9 | 23.68% | 28.01% | -4.32% | True
CompressionProcessing_Age4 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 9 | 23.68% | 21.68% | 2.01% | True
CompressionProcessing_Age4 | ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 6 | 15.79% | 12.26% | 3.53% | True
CompressionProcessing_Age4 | ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 1 | 2.63% | 4.27% | -1.64% | True
CompressionProcessing_Age5 | ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 6 | 26.09% | 12.26% | 13.82% | True
CompressionProcessing_Age5 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 6 | 26.09% | 21.68% | 4.41% | True
CompressionProcessing_Age5 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 5 | 21.74% | 19.46% | 2.28% | True
CompressionProcessing_Age5 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 4 | 17.39% | 28.01% | -10.62% | True
CompressionProcessing_Age5 | ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 2 | 8.70% | 4.27% | 4.42% | True
CompressionProcessing_Age6-10 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 6 | 37.50% | 28.01% | 9.49% | False
CompressionProcessing_Age6-10 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 4 | 25.00% | 19.46% | 5.54% | False
CompressionProcessing_Age6-10 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 4 | 25.00% | 21.68% | 3.32% | False
CompressionProcessing_Age6-10 | ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 2 | 12.50% | 12.26% | 0.24% | False
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 32 | 29.63% | 28.01% | 1.62% | False
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 30 | 27.78% | 19.46% | 8.32% | False
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 21 | 19.44% | 14.32% | 5.12% | False
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 17 | 15.74% | 21.68% | -5.94% | False
DestructiveRotation_Age1 | ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 8 | 7.41% | 4.27% | 3.14% | False
DestructiveRotation_Age2 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 11 | 55.00% | 19.46% | 35.54% | True
DestructiveRotation_Age2 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 6 | 30.00% | 28.01% | 1.99% | True
DestructiveRotation_Age2 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 3 | 15.00% | 21.68% | -6.68% | True
MixedStructure_Age1 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 127 | 27.49% | 19.46% | 8.03% | True
MixedStructure_Age1 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 115 | 24.89% | 28.01% | -3.11% | True
MixedStructure_Age1 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 108 | 23.38% | 21.68% | 1.70% | True
MixedStructure_Age1 | ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 78 | 16.88% | 14.32% | 2.56% | True
MixedStructure_Age1 | ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 34 | 7.36% | 4.27% | 3.09% | True
MixedStructure_Age2 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 23 | 50.00% | 19.46% | 30.54% | True
MixedStructure_Age2 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 15 | 32.61% | 28.01% | 4.60% | True
MixedStructure_Age2 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 8 | 17.39% | 21.68% | -4.29% | True
MixedStructure_Age3 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 5 | 62.50% | 19.46% | 43.04% | True
MixedStructure_Age3 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 3 | 37.50% | 21.68% | 15.82% | True
MixedStructure_Age4 | ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 1 | 50.00% | 19.46% | 30.54% | True
MixedStructure_Age4 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 1 | 50.00% | 28.01% | 21.99% | True
NeutralProcessing_Age11-20 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 3 | 33.33% | 28.01% | 5.33% | False
NeutralProcessing_Age11-20 | ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 3 | 33.33% | 14.32% | 19.01% | False
NeutralProcessing_Age11-20 | ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 2 | 22.22% | 4.27% | 17.95% | False
NeutralProcessing_Age11-20 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 1 | 11.11% | 21.68% | -10.57% | False
NeutralProcessing_Age21+ | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 1 | 100.00% | 21.68% | 78.32% | True
NeutralProcessing_Age4 | ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 13 | 54.17% | 14.32% | 39.85% | True
NeutralProcessing_Age4 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 6 | 25.00% | 21.68% | 3.32% | True
NeutralProcessing_Age4 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 5 | 20.83% | 28.01% | -7.17% | True
NeutralProcessing_Age5 | ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 12 | 57.14% | 14.32% | 42.82% | True
NeutralProcessing_Age5 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 5 | 23.81% | 28.01% | -4.20% | True
NeutralProcessing_Age5 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 4 | 19.05% | 21.68% | -2.63% | True
NeutralProcessing_Age6-10 | ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 22 | 43.14% | 14.32% | 28.82% | True
NeutralProcessing_Age6-10 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 16 | 31.37% | 28.01% | 3.37% | True
NeutralProcessing_Age6-10 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 12 | 23.53% | 21.68% | 1.85% | True
NeutralProcessing_Age6-10 | ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 1 | 1.96% | 4.27% | -2.31% | True
RecoveryResolution_Age3 | ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 16 | 45.71% | 28.01% | 17.71% | False
RecoveryResolution_Age3 | ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 12 | 34.29% | 12.26% | 22.02% | False
RecoveryResolution_Age3 | ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 7 | 20.00% | 21.68% | -1.68% | False
ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | 12 | 52.17% | 39.47% | 12.70% | False
ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | DecayToNeutral_Age1 | 5 | 21.74% | 26.32% | -4.58% | False
ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | NeutralProcessing_Age1 | 2 | 8.70% | 15.79% | -7.09% | False
ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | RecoveryResolution_Age1 | 2 | 8.70% | 10.53% | -1.83% | False
ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | CompressionProcessing_Age1 | 1 | 4.35% | 2.63% | 1.72% | False
ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | DestructiveRotation_Age1 | 1 | 4.35% | 5.26% | -0.92% | False
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | DecayToNeutral_Age1 | 5 | 33.33% | 26.32% | 7.02% | True
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | NeutralProcessing_Age1 | 4 | 26.67% | 15.79% | 10.88% | True
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | 3 | 20.00% | 39.47% | -19.47% | True
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | RecoveryResolution_Age1 | 2 | 13.33% | 10.53% | 2.81% | True
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | DestructiveRotation_Age1 | 1 | 6.67% | 5.26% | 1.40% | True
CompressionProcessing_Age1 | MixedStructure_Age1 | NeutralProcessing_Age1 | 19 | 59.38% | 37.55% | 21.83% | False
CompressionProcessing_Age1 | MixedStructure_Age1 | ExhaustionPersistence_Age1 | 6 | 18.75% | 12.40% | 6.35% | False
CompressionProcessing_Age1 | MixedStructure_Age1 | RecoveryResolution_Age1 | 5 | 15.62% | 9.23% | 6.39% | False
CompressionProcessing_Age1 | MixedStructure_Age1 | CompressionProcessing_Age1 | 1 | 3.12% | 2.68% | 0.44% | False
CompressionProcessing_Age1 | MixedStructure_Age1 | MixedStructure_Age2 | 1 | 3.12% | 11.00% | -7.88% | False
CompressionProcessing_Age2 | MixedStructure_Age1 | DecayToNeutral_Age1 | 11 | 50.00% | 19.89% | 30.11% | True
CompressionProcessing_Age2 | MixedStructure_Age1 | MixedStructure_Age2 | 3 | 13.64% | 11.00% | 2.63% | True
CompressionProcessing_Age2 | MixedStructure_Age1 | ExhaustionPersistence_Age1 | 2 | 9.09% | 12.40% | -3.31% | True
CompressionProcessing_Age2 | MixedStructure_Age1 | RecoveryResolution_Age1 | 2 | 9.09% | 9.23% | -0.14% | True
CompressionProcessing_Age2 | MixedStructure_Age1 | CompressionProcessing_Age1 | 1 | 4.55% | 2.68% | 1.86% | True
CompressionProcessing_Age2 | MixedStructure_Age1 | ConstructiveEmergence_Age1 | 1 | 4.55% | 0.64% | 3.90% | True
CompressionProcessing_Age2 | MixedStructure_Age1 | NeutralProcessing_Age1 | 1 | 4.55% | 37.55% | -33.00% | True
CompressionProcessing_Age2 | MixedStructure_Age1 | ReassertionProcessing_Age1 | 1 | 4.55% | 4.67% | -0.12% | True
CompressionProcessing_Age3 | MixedStructure_Age1 | NeutralProcessing_Age1 | 8 | 44.44% | 37.55% | 6.90% | False
CompressionProcessing_Age3 | MixedStructure_Age1 | ReassertionProcessing_Age1 | 5 | 27.78% | 4.67% | 23.11% | False
CompressionProcessing_Age3 | MixedStructure_Age1 | DecayToNeutral_Age1 | 3 | 16.67% | 19.89% | -3.22% | False
CompressionProcessing_Age3 | MixedStructure_Age1 | MixedStructure_Age2 | 1 | 5.56% | 11.00% | -5.45% | False
