APVA Age Transition Matrix Study v0.1 - CL
================================================================

Rows: 2684
Sources:
  .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv

State x Age Counts
==================
RecoveryResolution           1            94
RecoveryResolution           2            38
RecoveryResolution           3            27
RecoveryResolution           4             1
ExhaustionPersistence        1            97
ExhaustionPersistence        2            31
ExhaustionPersistence        3            21
ExhaustionPersistence        4            16
ExhaustionPersistence        5             8
ExhaustionPersistence        6-10          3
CompressionProcessing        1           177
CompressionProcessing        2            92
CompressionProcessing        3            41
CompressionProcessing        4            22
CompressionProcessing        5            12
CompressionProcessing        6-10          6
NeutralProcessing            1           446
NeutralProcessing            2           253
NeutralProcessing            3           140
NeutralProcessing            4           106
NeutralProcessing            5            95
NeutralProcessing            6-10        208
NeutralProcessing            11-20        30
ReassertionProcessing        1           174
ReassertionProcessing        2            32
ReassertionProcessing        3             1
DecayToNeutral               1           103
DestructiveRotation          1            71
DestructiveRotation          2            12
DestructiveRotation          3             1
ConstructiveEmergence        1            12
MixedStructure               1           279
MixedStructure               2            28
MixedStructure               3             5
MixedStructure               4             2

Transition Matrix Lag 1
================================
State                        Age    NextState                           N       Prob       Lift
ExhaustionPersistence        1      DestructiveRotation                13     13.40%      4.277
NeutralProcessing            1      ExhaustionPersistence              13      2.92%      0.445
RecoveryResolution           3      NeutralProcessing                  13     48.15%      1.010
MixedStructure               1      DestructiveRotation                12      4.30%      1.373
NeutralProcessing            4      MixedStructure                     12     11.32%      0.976
ReassertionProcessing        1      CompressionProcessing              12      6.90%      0.528
CompressionProcessing        3      NeutralProcessing                  11     26.83%      0.563
DecayToNeutral               1      ExhaustionPersistence              11     10.68%      1.627
NeutralProcessing            1      DestructiveRotation                11      2.47%      0.789
ReassertionProcessing        2      NeutralProcessing                  11     34.38%      0.721
RecoveryResolution           2      NeutralProcessing                  11     28.95%      0.607
CompressionProcessing        2      ExhaustionPersistence              10     10.87%      1.656
DestructiveRotation          1      MixedStructure                     10     14.08%      1.214
ExhaustionPersistence        3      NeutralProcessing                  10     47.62%      0.999
ReassertionProcessing        1      DestructiveRotation                10      5.75%      1.834
RecoveryResolution           1      ExhaustionPersistence              10     10.64%      1.621
CompressionProcessing        1      RecoveryResolution                  9      5.11%      0.857
CompressionProcessing        3      CompressionProcessing               9     21.95%      1.681
DecayToNeutral               1      CompressionProcessing               9      8.74%      0.669
ExhaustionPersistence        2      NeutralProcessing                   9     29.03%      0.609
ExhaustionPersistence        4      NeutralProcessing                   9     56.25%      1.180
NeutralProcessing            2      CompressionProcessing               9      3.56%      0.272
NeutralProcessing            3      ReassertionProcessing               9      6.47%      0.839
NeutralProcessing            5      CompressionProcessing               9      9.47%      0.726
NeutralProcessing            5      ReassertionProcessing               9      9.47%      1.227
DestructiveRotation          1      ExhaustionPersistence               8     11.27%      1.716
ExhaustionPersistence        2      ExhaustionPersistence               8     25.81%      3.931
ExhaustionPersistence        2      RecoveryResolution                  8     25.81%      4.324
NeutralProcessing            1      DecayToNeutral                      8      1.80%      0.468
NeutralProcessing            3      CompressionProcessing               8      5.76%      0.441
NeutralProcessing            6-10   DecayToNeutral                      8      3.85%      1.001
ReassertionProcessing        2      ReassertionProcessing               8     25.00%      3.238
CompressionProcessing        2      RecoveryResolution                  7      7.61%      1.275
CompressionProcessing        3      ExhaustionPersistence               7     17.07%      2.601
CompressionProcessing        4      NeutralProcessing                   7     31.82%      0.667
ConstructiveEmergence        1      MixedStructure                      7     58.33%      5.029
DecayToNeutral               1      DecayToNeutral                      7      6.80%      1.769
DestructiveRotation          1      DecayToNeutral                      7      9.86%      2.566
ExhaustionPersistence        1      DecayToNeutral                      7      7.22%      1.878
MixedStructure               2      MixedStructure                      7     25.00%      2.155
MixedStructure               2      NeutralProcessing                   7     25.00%      0.524
NeutralProcessing            11-20  MixedStructure                      7     23.33%      2.011
NeutralProcessing            6-10   ExhaustionPersistence               7      3.37%      0.513
DestructiveRotation          1      CompressionProcessing               6      8.45%      0.647
DestructiveRotation          1      ReassertionProcessing               6      8.45%      1.095
NeutralProcessing            2      ExhaustionPersistence               6      2.37%      0.361
NeutralProcessing            2      RecoveryResolution                  6      2.37%      0.397
NeutralProcessing            3      RecoveryResolution                  6      4.32%      0.723
NeutralProcessing            4      CompressionProcessing               6      5.66%      0.434
NeutralProcessing            6-10   DestructiveRotation                 6      2.88%      0.921
NeutralProcessing            6-10   RecoveryResolution                  6      2.88%      0.483
ReassertionProcessing        1      ExhaustionPersistence               6      3.45%      0.525
ReassertionProcessing        2      DestructiveRotation                 6     18.75%      5.984
RecoveryResolution           3      CompressionProcessing               6     22.22%      1.702
CompressionProcessing        1      DecayToNeutral                      5      2.84%      0.739
CompressionProcessing        2      MixedStructure                      5      5.43%      0.469
CompressionProcessing        3      DestructiveRotation                 5     12.20%      3.892
CompressionProcessing        3      RecoveryResolution                  5     12.20%      2.043
DecayToNeutral               1      RecoveryResolution                  5      4.85%      0.813
DestructiveRotation          1      RecoveryResolution                  5      7.04%      1.180
MixedStructure               2      CompressionProcessing               5     17.86%      1.368
NeutralProcessing            5      RecoveryResolution                  5      5.26%      0.882
CompressionProcessing        1      DestructiveRotation                 4      2.27%      0.725
CompressionProcessing        2      ReassertionProcessing               4      4.35%      0.563
CompressionProcessing        3      MixedStructure                      4      9.76%      0.841
CompressionProcessing        4      ExhaustionPersistence               4     18.18%      2.770
CompressionProcessing        4      RecoveryResolution                  4     18.18%      3.047
ExhaustionPersistence        2      DestructiveRotation                 4     12.90%      4.118
ExhaustionPersistence        3      DecayToNeutral                      4     19.05%      4.958
ExhaustionPersistence        4      MixedStructure                      4     25.00%      2.155
MixedStructure               1      ConstructiveEmergence               4      1.43%      3.203
NeutralProcessing            5      ExhaustionPersistence               4      4.21%      0.641
ReassertionProcessing        1      RecoveryResolution                  4      2.30%      0.385
RecoveryResolution           1      RecoveryResolution                  4      4.26%      0.713
CompressionProcessing        1      ReassertionProcessing               3      1.70%      0.221
CompressionProcessing        2      DecayToNeutral                      3      3.26%      0.849
CompressionProcessing        4      CompressionProcessing               3     13.64%      1.045
CompressionProcessing        5      NeutralProcessing                   3     25.00%      0.524
ConstructiveEmergence        1      NeutralProcessing                   3     25.00%      0.524
DestructiveRotation          2      NeutralProcessing                   3     25.00%      0.524
ExhaustionPersistence        3      CompressionProcessing               3     14.29%      1.094
ExhaustionPersistence        5      NeutralProcessing                   3     37.50%      0.787
MixedStructure               2      DecayToNeutral                      3     10.71%      2.789
MixedStructure               2      ExhaustionPersistence               3     10.71%      1.632
NeutralProcessing            11-20  ReassertionProcessing               3     10.00%      1.295
NeutralProcessing            3      DestructiveRotation                 3      2.16%      0.689
NeutralProcessing            4      DecayToNeutral                      3      2.83%      0.737
ReassertionProcessing        2      CompressionProcessing               3      9.38%      0.718
RecoveryResolution           2      ExhaustionPersistence               3      7.89%      1.203
RecoveryResolution           3      ExhaustionPersistence               3     11.11%      1.693
CompressionProcessing        4      DecayToNeutral                      2      9.09%      2.366
CompressionProcessing        4      MixedStructure                      2      9.09%      0.784
CompressionProcessing        5      CompressionProcessing               2     16.67%      1.277
CompressionProcessing        5      ExhaustionPersistence               2     16.67%      2.539
CompressionProcessing        5      RecoveryResolution                  2     16.67%      2.793
CompressionProcessing        6-10   NeutralProcessing                   2     33.33%      0.699
ConstructiveEmergence        1      ExhaustionPersistence               2     16.67%      2.539
DecayToNeutral               1      DestructiveRotation                 2      1.94%      0.620
DecayToNeutral               1      ReassertionProcessing               2      1.94%      0.251
DestructiveRotation          2      CompressionProcessing               2     16.67%      1.277
DestructiveRotation          2      DecayToNeutral                      2     16.67%      4.338
DestructiveRotation          2      RecoveryResolution                  2     16.67%      2.793
ExhaustionPersistence        3      MixedStructure                      2      9.52%      0.821
ExhaustionPersistence        4      ExhaustionPersistence               2     12.50%      1.904
ExhaustionPersistence        5      ExhaustionPersistence               2     25.00%      3.808
ExhaustionPersistence        5      MixedStructure                      2     25.00%      2.155
ExhaustionPersistence        6-10   MixedStructure                      2     66.67%      5.747
MixedStructure               2      RecoveryResolution                  2      7.14%      1.197
MixedStructure               3      NeutralProcessing                   2     40.00%      0.839
MixedStructure               4      ReassertionProcessing               2    100.00%     12.952
NeutralProcessing            1      ConstructiveEmergence               2      0.45%      1.004
NeutralProcessing            11-20  CompressionProcessing               2      6.67%      0.511
NeutralProcessing            11-20  ExhaustionPersistence               2      6.67%      1.016
NeutralProcessing            4      ExhaustionPersistence               2      1.89%      0.287
NeutralProcessing            5      ConstructiveEmergence               2      2.11%      4.704
NeutralProcessing            5      DecayToNeutral                      2      2.11%      0.548
NeutralProcessing            5      DestructiveRotation                 2      2.11%      0.672
NeutralProcessing            6-10   ConstructiveEmergence               2      0.96%      2.148
ReassertionProcessing        2      ExhaustionPersistence               2      6.25%      0.952
RecoveryResolution           3      MixedStructure                      2      7.41%      0.639
RecoveryResolution           3      RecoveryResolution                  2      7.41%      1.241
CompressionProcessing        5      DestructiveRotation                 1      8.33%      2.660
CompressionProcessing        5      MixedStructure                      1      8.33%      0.718
CompressionProcessing        5      ReassertionProcessing               1      8.33%      1.079
CompressionProcessing        6-10   CompressionProcessing               1     16.67%      1.277
CompressionProcessing        6-10   DecayToNeutral                      1     16.67%      4.338
CompressionProcessing        6-10   MixedStructure                      1     16.67%      1.437
CompressionProcessing        6-10   RecoveryResolution                  1     16.67%      2.793
DestructiveRotation          1      ConstructiveEmergence               1      1.41%      3.147
DestructiveRotation          1      DestructiveRotation                 1      1.41%      0.450
DestructiveRotation          2      ExhaustionPersistence               1      8.33%      1.269
DestructiveRotation          2      MixedStructure                      1      8.33%      0.718
DestructiveRotation          2      ReassertionProcessing               1      8.33%      1.079
DestructiveRotation          3      ExhaustionPersistence               1    100.00%     15.233
ExhaustionPersistence        1      CompressionProcessing               1      1.03%      0.079
ExhaustionPersistence        2      CompressionProcessing               1      3.23%      0.247
ExhaustionPersistence        2      DecayToNeutral                      1      3.23%      0.840
ExhaustionPersistence        3      DestructiveRotation                 1      4.76%      1.520
ExhaustionPersistence        3      ExhaustionPersistence               1      4.76%      0.725
ExhaustionPersistence        4      DestructiveRotation                 1      6.25%      1.995
ExhaustionPersistence        5      DestructiveRotation                 1     12.50%      3.990
ExhaustionPersistence        6-10   NeutralProcessing                   1     33.33%      0.699
MixedStructure               2      ReassertionProcessing               1      3.57%      0.463
MixedStructure               3      CompressionProcessing               1     20.00%      1.532
MixedStructure               3      DecayToNeutral                      1     20.00%      5.206
MixedStructure               3      ReassertionProcessing               1     20.00%      2.590
NeutralProcessing            11-20  DecayToNeutral                      1      3.33%      0.868
NeutralProcessing            11-20  RecoveryResolution                  1      3.33%      0.559
NeutralProcessing            2      ConstructiveEmergence               1      0.40%      0.883
NeutralProcessing            2      DestructiveRotation                 1      0.40%      0.126
NeutralProcessing            3      ExhaustionPersistence               1      0.72%      0.110
NeutralProcessing            4      RecoveryResolution                  1      0.94%      0.158
ReassertionProcessing        2      DecayToNeutral                      1      3.12%      0.813
ReassertionProcessing        2      RecoveryResolution                  1      3.12%      0.524
ReassertionProcessing        3      ExhaustionPersistence               1    100.00%     15.233
RecoveryResolution           2      RecoveryResolution                  1      2.63%      0.441
RecoveryResolution           3      DecayToNeutral                      1      3.70%      0.964
RecoveryResolution           4      CompressionProcessing               1    100.00%      7.660

Transition Matrix Lag 5
================================
State                        Age    NextState                           N       Prob       Lift
NeutralProcessing            1      NeutralProcessing                 220     49.55%      1.039
MixedStructure               1      NeutralProcessing                 147     52.69%      1.105
NeutralProcessing            2      NeutralProcessing                 123     48.81%      1.024
NeutralProcessing            6-10   NeutralProcessing                  96     46.15%      0.968
ReassertionProcessing        1      NeutralProcessing                  94     54.02%      1.133
CompressionProcessing        1      NeutralProcessing                  70     39.77%      0.834
NeutralProcessing            3      NeutralProcessing                  65     46.76%      0.981
NeutralProcessing            1      MixedStructure                     60     13.51%      1.168
NeutralProcessing            1      CompressionProcessing              52     11.71%      0.896
DecayToNeutral               1      NeutralProcessing                  49     47.57%      0.998
NeutralProcessing            5      NeutralProcessing                  49     51.58%      1.082
CompressionProcessing        2      NeutralProcessing                  45     48.91%      1.026
NeutralProcessing            4      NeutralProcessing                  44     41.51%      0.871
MixedStructure               1      CompressionProcessing              43     15.41%      1.180
ExhaustionPersistence        1      NeutralProcessing                  40     41.24%      0.865
RecoveryResolution           1      NeutralProcessing                  38     40.43%      0.848
NeutralProcessing            1      ReassertionProcessing              36      8.11%      1.049
CompressionProcessing        1      CompressionProcessing              31     17.61%      1.348
NeutralProcessing            1      RecoveryResolution                 30      6.76%      1.131
NeutralProcessing            2      CompressionProcessing              30     11.90%      0.911
NeutralProcessing            2      ReassertionProcessing              30     11.90%      1.541
NeutralProcessing            6-10   MixedStructure                     30     14.42%      1.246
DestructiveRotation          1      NeutralProcessing                  29     40.85%      0.857
ExhaustionPersistence        1      CompressionProcessing              29     29.90%      2.288
NeutralProcessing            2      MixedStructure                     29     11.51%      0.995
MixedStructure               1      MixedStructure                     27      9.68%      0.836
NeutralProcessing            1      ExhaustionPersistence              25      5.63%      0.857
CompressionProcessing        1      ExhaustionPersistence              21     11.93%      1.816
ReassertionProcessing        1      MixedStructure                     21     12.07%      1.043
RecoveryResolution           2      NeutralProcessing                  21     55.26%      1.159
CompressionProcessing        3      NeutralProcessing                  19     46.34%      0.972
ReassertionProcessing        2      NeutralProcessing                  19     59.38%      1.246
RecoveryResolution           1      CompressionProcessing              19     20.21%      1.547
NeutralProcessing            3      MixedStructure                     18     12.95%      1.119
NeutralProcessing            4      ReassertionProcessing              18     16.98%      2.198
NeutralProcessing            6-10   CompressionProcessing              18      8.65%      0.662
NeutralProcessing            6-10   ReassertionProcessing              18      8.65%      1.120
MixedStructure               1      ExhaustionPersistence              17      6.09%      0.927
NeutralProcessing            3      CompressionProcessing              17     12.23%      0.936
CompressionProcessing        1      MixedStructure                     16      9.09%      0.786
DecayToNeutral               1      MixedStructure                     16     15.53%      1.342
MixedStructure               1      ReassertionProcessing              16      5.73%      0.742
ReassertionProcessing        1      CompressionProcessing              16      9.20%      0.704
RecoveryResolution           3      NeutralProcessing                  16     59.26%      1.243
NeutralProcessing            3      ReassertionProcessing              15     10.79%      1.397
ExhaustionPersistence        2      NeutralProcessing                  14     45.16%      0.947
MixedStructure               1      RecoveryResolution                 14      5.02%      0.840
MixedStructure               2      NeutralProcessing                  14     50.00%      1.049
NeutralProcessing            11-20  NeutralProcessing                  13     43.33%      0.909
NeutralProcessing            5      ReassertionProcessing              13     13.68%      1.771
NeutralProcessing            6-10   DecayToNeutral                     13      6.25%      1.626
CompressionProcessing        1      RecoveryResolution                 12      6.82%      1.142
NeutralProcessing            2      ExhaustionPersistence              12      4.76%      0.725
NeutralProcessing            4      CompressionProcessing              12     11.32%      0.867
NeutralProcessing            4      MixedStructure                     12     11.32%      0.978
NeutralProcessing            6-10   DestructiveRotation                12      5.77%      1.840
RecoveryResolution           1      ExhaustionPersistence              12     12.77%      1.943
CompressionProcessing        2      CompressionProcessing              11     11.96%      0.915
DecayToNeutral               1      ExhaustionPersistence              11     10.68%      1.626
NeutralProcessing            5      MixedStructure                     11     11.58%      1.001
ReassertionProcessing        1      ReassertionProcessing              11      6.32%      0.818
CompressionProcessing        1      ReassertionProcessing              10      5.68%      0.735
DestructiveRotation          1      MixedStructure                     10     14.08%      1.217
DestructiveRotation          1      RecoveryResolution                 10     14.08%      2.358
NeutralProcessing            1      DecayToNeutral                     10      2.25%      0.586
NeutralProcessing            1      DestructiveRotation                10      2.25%      0.718
NeutralProcessing            2      DestructiveRotation                10      3.97%      1.266
NeutralProcessing            6-10   ExhaustionPersistence              10      4.81%      0.732
RecoveryResolution           1      RecoveryResolution                 10     10.64%      1.781
CompressionProcessing        1      DestructiveRotation                 9      5.11%      1.631
CompressionProcessing        2      ExhaustionPersistence               9      9.78%      1.489
CompressionProcessing        2      RecoveryResolution                  9      9.78%      1.638
CompressionProcessing        4      NeutralProcessing                   9     40.91%      0.858
MixedStructure               1      DecayToNeutral                      9      3.23%      0.839
NeutralProcessing            2      DecayToNeutral                      9      3.57%      0.929
NeutralProcessing            2      RecoveryResolution                  9      3.57%      0.598
NeutralProcessing            5      CompressionProcessing               9      9.47%      0.725
NeutralProcessing            6-10   RecoveryResolution                  9      4.33%      0.724
ReassertionProcessing        1      DecayToNeutral                      9      5.17%      1.345
ConstructiveEmergence        1      NeutralProcessing                   8     66.67%      1.399
DecayToNeutral               1      CompressionProcessing               8      7.77%      0.595
DestructiveRotation          1      CompressionProcessing               8     11.27%      0.862
ReassertionProcessing        1      DestructiveRotation                 8      4.60%      1.466
RecoveryResolution           1      MixedStructure                      8      8.51%      0.735
CompressionProcessing        2      MixedStructure                      7      7.61%      0.658
NeutralProcessing            11-20  ExhaustionPersistence               7     23.33%      3.552
NeutralProcessing            3      RecoveryResolution                  7      5.04%      0.843
NeutralProcessing            4      DecayToNeutral                      7      6.60%      1.718
ReassertionProcessing        1      RecoveryResolution                  7      4.02%      0.674
RecoveryResolution           2      CompressionProcessing               7     18.42%      1.410
CompressionProcessing        1      DecayToNeutral                      6      3.41%      0.887
CompressionProcessing        2      ReassertionProcessing               6      6.52%      0.844
CompressionProcessing        3      CompressionProcessing               6     14.63%      1.120
DecayToNeutral               1      ReassertionProcessing               6      5.83%      0.754
DecayToNeutral               1      RecoveryResolution                  6      5.83%      0.975
ExhaustionPersistence        1      DecayToNeutral                      6      6.19%      1.609
ExhaustionPersistence        1      ExhaustionPersistence               6      6.19%      0.942
ExhaustionPersistence        1      RecoveryResolution                  6      6.19%      1.036
ExhaustionPersistence        2      CompressionProcessing               6     19.35%      1.481
ExhaustionPersistence        4      NeutralProcessing                   6     37.50%      0.787
MixedStructure               1      DestructiveRotation                 6      2.15%      0.686
ReassertionProcessing        1      ExhaustionPersistence               6      3.45%      0.525
DecayToNeutral               1      DecayToNeutral                      5      4.85%      1.263
DestructiveRotation          2      NeutralProcessing                   5     41.67%      0.874
ExhaustionPersistence        1      MixedStructure                      5      5.15%      0.445
ExhaustionPersistence        2      MixedStructure                      5     16.13%      1.394
ExhaustionPersistence        3      NeutralProcessing                   5     23.81%      0.499
MixedStructure               2      CompressionProcessing               5     17.86%      1.367
NeutralProcessing            3      DecayToNeutral                      5      3.60%      0.936
NeutralProcessing            3      DestructiveRotation                 5      3.60%      1.147
NeutralProcessing            3      ExhaustionPersistence               5      3.60%      0.548
NeutralProcessing            4      RecoveryResolution                  5      4.72%      0.790
RecoveryResolution           2      MixedStructure                      5     13.16%      1.137
RecoveryResolution           3      CompressionProcessing               5     18.52%      1.417
CompressionProcessing        3      ExhaustionPersistence               4      9.76%      1.485
CompressionProcessing        3      MixedStructure                      4      9.76%      0.843
CompressionProcessing        3      RecoveryResolution                  4      9.76%      1.634
CompressionProcessing        6-10   NeutralProcessing                   4     66.67%      1.399
DestructiveRotation          1      DestructiveRotation                 4      5.63%      1.797
DestructiveRotation          1      ExhaustionPersistence               4      5.63%      0.858
DestructiveRotation          1      ReassertionProcessing               4      5.63%      0.729
ExhaustionPersistence        2      ExhaustionPersistence               4     12.90%      1.964
ExhaustionPersistence        3      MixedStructure                      4     19.05%      1.646
ExhaustionPersistence        5      NeutralProcessing                   4     50.00%      1.049
MixedStructure               3      NeutralProcessing                   4     80.00%      1.678
NeutralProcessing            4      DestructiveRotation                 4      3.77%      1.204
NeutralProcessing            4      ExhaustionPersistence               4      3.77%      0.574
NeutralProcessing            5      DecayToNeutral                      4      4.21%      1.095
NeutralProcessing            5      ExhaustionPersistence               4      4.21%      0.641
RecoveryResolution           1      DecayToNeutral                      4      4.26%      1.107
CompressionProcessing        2      DecayToNeutral                      3      3.26%      0.848
CompressionProcessing        4      MixedStructure                      3     13.64%      1.178
CompressionProcessing        4      RecoveryResolution                  3     13.64%      2.283
CompressionProcessing        5      NeutralProcessing                   3     25.00%      0.524
ExhaustionPersistence        1      ReassertionProcessing               3      3.09%      0.400
ExhaustionPersistence        3      CompressionProcessing               3     14.29%      1.093
ExhaustionPersistence        3      ExhaustionPersistence               3     14.29%      2.175
ExhaustionPersistence        3      RecoveryResolution                  3     14.29%      2.392
ExhaustionPersistence        4      CompressionProcessing               3     18.75%      1.435
ExhaustionPersistence        4      MixedStructure                      3     18.75%      1.620
MixedStructure               2      ReassertionProcessing               3     10.71%      1.387
NeutralProcessing            11-20  RecoveryResolution                  3     10.00%      1.674
NeutralProcessing            5      RecoveryResolution                  3      3.16%      0.529
ReassertionProcessing        2      CompressionProcessing               3      9.38%      0.718
ReassertionProcessing        2      MixedStructure                      3      9.38%      0.810
ReassertionProcessing        2      ReassertionProcessing               3      9.38%      1.213
RecoveryResolution           2      ReassertionProcessing               3      7.89%      1.022
CompressionProcessing        2      DestructiveRotation                 2      2.17%      0.693
CompressionProcessing        3      DestructiveRotation                 2      4.88%      1.556
CompressionProcessing        4      CompressionProcessing               2      9.09%      0.696
CompressionProcessing        4      DecayToNeutral                      2      9.09%      2.365
CompressionProcessing        4      ExhaustionPersistence               2      9.09%      1.384
CompressionProcessing        5      CompressionProcessing               2     16.67%      1.276
CompressionProcessing        5      MixedStructure                      2     16.67%      1.440
CompressionProcessing        5      ReassertionProcessing               2     16.67%      2.157
DecayToNeutral               1      DestructiveRotation                 2      1.94%      0.619
DestructiveRotation          2      CompressionProcessing               2     16.67%      1.276
DestructiveRotation          2      ExhaustionPersistence               2     16.67%      2.537
DestructiveRotation          2      RecoveryResolution                  2     16.67%      2.791
ExhaustionPersistence        1      DestructiveRotation                 2      2.06%      0.658
ExhaustionPersistence        3      DecayToNeutral                      2      9.52%      2.477
ExhaustionPersistence        4      ExhaustionPersistence               2     12.50%      1.903
ExhaustionPersistence        5      RecoveryResolution                  2     25.00%      4.186
ExhaustionPersistence        6-10   NeutralProcessing                   2     66.67%      1.399
MixedStructure               2      MixedStructure                      2      7.14%      0.617
MixedStructure               2      RecoveryResolution                  2      7.14%      1.196
NeutralProcessing            11-20  CompressionProcessing               2      6.67%      0.510
NeutralProcessing            11-20  MixedStructure                      2      6.67%      0.576
NeutralProcessing            11-20  ReassertionProcessing               2      6.67%      0.863
NeutralProcessing            3      ConstructiveEmergence               2      1.44%      3.212
NeutralProcessing            5      DestructiveRotation                 2      2.11%      0.671
NeutralProcessing            6-10   ConstructiveEmergence               2      0.96%      2.147
ReassertionProcessing        1      ConstructiveEmergence               2      1.15%      2.566
ReassertionProcessing        2      ExhaustionPersistence               2      6.25%      0.951
RecoveryResolution           3      MixedStructure                      2      7.41%      0.640
RecoveryResolution           3      ReassertionProcessing               2      7.41%      0.959
CompressionProcessing        1      ConstructiveEmergence               1      0.57%      1.268
CompressionProcessing        3      DecayToNeutral                      1      2.44%      0.634
CompressionProcessing        3      ReassertionProcessing               1      2.44%      0.316
CompressionProcessing        4      ReassertionProcessing               1      4.55%      0.588
CompressionProcessing        5      DestructiveRotation                 1      8.33%      2.658
CompressionProcessing        5      ExhaustionPersistence               1      8.33%      1.268
CompressionProcessing        5      RecoveryResolution                  1      8.33%      1.395
CompressionProcessing        6-10   CompressionProcessing               1     16.67%      1.276
CompressionProcessing        6-10   MixedStructure                      1     16.67%      1.440
ConstructiveEmergence        1      ConstructiveEmergence               1      8.33%     18.604
ConstructiveEmergence        1      DestructiveRotation                 1      8.33%      2.658
ConstructiveEmergence        1      MixedStructure                      1      8.33%      0.720
ConstructiveEmergence        1      ReassertionProcessing               1      8.33%      1.079
DestructiveRotation          1      ConstructiveEmergence               1      1.41%      3.144
DestructiveRotation          1      DecayToNeutral                      1      1.41%      0.366
DestructiveRotation          2      MixedStructure                      1      8.33%      0.720
DestructiveRotation          3      ExhaustionPersistence               1    100.00%     15.222
ExhaustionPersistence        2      DestructiveRotation                 1      3.23%      1.029
ExhaustionPersistence        2      ReassertionProcessing               1      3.23%      0.417
ExhaustionPersistence        3      DestructiveRotation                 1      4.76%      1.519
ExhaustionPersistence        4      DecayToNeutral                      1      6.25%      1.626
ExhaustionPersistence        4      RecoveryResolution                  1      6.25%      1.046
ExhaustionPersistence        5      ExhaustionPersistence               1     12.50%      1.903
ExhaustionPersistence        5      MixedStructure                      1     12.50%      1.080
ExhaustionPersistence        6-10   MixedStructure                      1     33.33%      2.881
MixedStructure               2      ConstructiveEmergence               1      3.57%      7.973
MixedStructure               2      DecayToNeutral                      1      3.57%      0.929
MixedStructure               3      DecayToNeutral                      1     20.00%      5.202
MixedStructure               4      NeutralProcessing                   1     50.00%      1.049
MixedStructure               4      ReassertionProcessing               1     50.00%      6.471
NeutralProcessing            1      ConstructiveEmergence               1      0.23%      0.503
NeutralProcessing            11-20  DecayToNeutral                      1      3.33%      0.867
ReassertionProcessing        2      DecayToNeutral                      1      3.12%      0.813
ReassertionProcessing        2      RecoveryResolution                  1      3.12%      0.523
ReassertionProcessing        3      RecoveryResolution                  1    100.00%     16.744
RecoveryResolution           1      ConstructiveEmergence               1      1.06%      2.375
RecoveryResolution           1      DestructiveRotation                 1      1.06%      0.339
RecoveryResolution           1      ReassertionProcessing               1      1.06%      0.138
RecoveryResolution           2      DecayToNeutral                      1      2.63%      0.684
RecoveryResolution           2      ExhaustionPersistence               1      2.63%      0.401
RecoveryResolution           3      DecayToNeutral                      1      3.70%      0.963
RecoveryResolution           3      DestructiveRotation                 1      3.70%      1.181
RecoveryResolution           4      NeutralProcessing                   1    100.00%      2.098
