APVA Interpretation Arbitration Study v0.1 - Aggregate
Research only. Fixed low-degree-of-freedom arbitration with past-only structural reliability scoring.
Instruments: 6E, CL, NQ

Aggregate Reliability Table
InterpretationType | InterpretationKey | Count_6E | Persist_6E | Entropy_6E | DominantProb_6E | Score_6E | Count_CL | Persist_CL | Entropy_CL | DominantProb_CL | Score_CL | Count_NQ | Persist_NQ | Entropy_NQ | DominantProb_NQ | Score_NQ | ValidInstrumentCount | MeanPersistence | MeanEntropy | MeanDominantProbability | MeanScore
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age2 | 113 | 83.19% | 0.4529 | 83.19% | 1.0103 | 10 | 70.00% | 0.6109 | 70.00% | 0.5187 | 8 | 87.50% | 0.3768 | 87.50% | 0.0000 | 2 | 76.59% | 0.5319 | 76.59% | 0.7645
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age3 | 94 | 61.70% | 0.8684 | 61.70% | 0.4436 | 7 | 71.43% | 0.5983 | 71.43% | 0.0000 | 7 | 85.71% | 0.4101 | 85.71% | 0.0000 | 1 | 61.70% | 0.8684 | 61.70% | 0.4436
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age4 | 58 | 34.48% | 1.5757 | 34.48% | -0.1898 | 5 | 40.00% | 1.3322 | 40.00% | 0.0000 | 6 | 33.33% | 1.3297 | 33.33% | 0.0000 | 1 | 34.48% | 1.5757 | 34.48% | -0.1898
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age1 | 1335 | 58.65% | 1.0773 | 58.65% | 0.5037 | 124 | 65.32% | 0.9863 | 65.32% | 0.6936 | 75 | 50.67% | 1.1968 | 50.67% | 0.2697 | 3 | 58.21% | 1.0868 | 58.21% | 0.4890
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age11-20 | 215 | 78.60% | 0.8099 | 78.60% | 1.1201 | 6 | 66.67% | 0.8676 | 66.67% | 0.0000 | 9 | 77.78% | 0.5297 | 77.78% | 0.0000 | 1 | 78.60% | 0.8099 | 78.60% | 1.1201
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age2 | 783 | 54.66% | 1.1333 | 54.66% | 0.3891 | 81 | 54.32% | 1.0905 | 54.32% | 0.2998 | 38 | 55.26% | 1.0662 | 55.26% | 0.3361 | 3 | 54.75% | 1.0967 | 54.75% | 0.3417
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age3 | 428 | 63.32% | 1.0015 | 63.32% | 0.6441 | 44 | 68.18% | 0.8897 | 68.18% | 0.7218 | 21 | 66.67% | 0.8642 | 66.67% | 0.5467 | 3 | 66.06% | 0.9185 | 66.06% | 0.6376
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age4 | 271 | 93.73% | 0.3296 | 93.73% | 1.6906 | 30 | 90.00% | 0.3887 | 90.00% | 1.4462 | 14 | 100.00% | -0.0000 | 100.00% | 2.0000 | 3 | 94.58% | 0.2395 | 94.58% | 1.7122
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age5 | 254 | 83.46% | 0.6810 | 83.46% | 1.2892 | 27 | 77.78% | 0.7545 | 77.78% | 1.0113 | 14 | 78.57% | 0.6560 | 78.57% | 0.9743 | 3 | 79.94% | 0.6971 | 79.94% | 1.0916
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age6-10 | 632 | 74.37% | 0.8863 | 74.37% | 0.9927 | 58 | 67.24% | 1.0237 | 67.24% | 0.7088 | 28 | 71.43% | 0.8555 | 71.43% | 0.8115 | 3 | 71.01% | 0.9218 | 71.01% | 0.8376
PreviousDistinctContext | MixedStructure->ReassertionProcessing+Age1 | 162 | 10.49% | 1.1612 | 62.96% | 0.0131 | 17 | 23.53% | 1.4611 | 41.18% | -0.2608 | 15 | 33.33% | 0.8532 | 60.00% | 0.1567 | 3 | 22.45% | 1.1585 | 54.71% | -0.0303
PreviousDistinctContext | MixedStructure->RecoveryResolution+Age1 | 338 | 0.00% | 0.4853 | 81.07% | 0.1105 | 30 | 0.00% | 0.5004 | 80.00% | 0.0781 | 16 | 0.00% | 0.5623 | 75.00% | -0.0613 | 3 | 0.00% | 0.5160 | 78.69% | 0.0424
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age1 | 1629 | 47.64% | 1.1738 | 47.64% | 0.3495 | 86 | 34.88% | 1.3377 | 39.53% | -0.0870 | 39 | 56.41% | 1.1605 | 56.41% | 0.4072 | 3 | 46.31% | 1.2240 | 47.86% | 0.2232
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age2 | 776 | 40.08% | 1.2288 | 43.56% | 0.2771 | 30 | 43.33% | 1.0582 | 46.67% | 0.2425 | 22 | 40.91% | 1.0825 | 45.45% | 0.0828 | 3 | 41.44% | 1.1232 | 45.23% | 0.2008
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age3 | 311 | 61.74% | 1.3022 | 61.74% | 0.6085 | 13 | 61.54% | 1.1787 | 61.54% | 0.4984 | 9 | 55.56% | 1.1491 | 55.56% | 0.0000 | 2 | 61.64% | 1.2404 | 61.64% | 0.5535
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age4 | 192 | 61.46% | 0.9923 | 61.46% | 0.6753 | 8 | 62.50% | 0.6616 | 62.50% | 0.0000 | 5 | 80.00% | 0.5004 | 80.00% | 0.0000 | 1 | 61.46% | 0.9923 | 61.46% | 0.6753
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age5 | 118 | 37.29% | 1.6591 | 37.29% | -0.0521 | 5 | 20.00% | 0.9503 | 60.00% | 0.0000 | 4 | 25.00% | 1.3863 | 25.00% | 0.0000 | 1 | 37.29% | 1.6591 | 37.29% | -0.0521
PreviousDistinctContext | NeutralProcessing->CompressionProcessing+Age6-10 | 78 | 44.87% | 1.4663 | 44.87% | 0.1439 | 1 | 0.00% | -0.0000 | 100.00% | 0.0000 | 2 | 50.00% | 0.6931 | 50.00% | 0.0000 | 1 | 44.87% | 1.4663 | 44.87% | 0.1439
PreviousDistinctContext | NeutralProcessing->ConstructiveEmergence+Age1 | 43 | 0.00% | 1.0253 | 48.84% | -0.2512 | 5 | 0.00% | 0.9503 | 60.00% | 0.0000 | 10 | 0.00% | 0.9433 | 50.00% | -0.3587 | 2 | 0.00% | 0.9843 | 49.42% | -0.3049
PreviousDistinctContext | NeutralProcessing->DestructiveRotation+Age1 | 277 | 7.94% | 1.6970 | 35.02% | -0.4425 | 20 | 10.00% | 1.3042 | 55.00% | -0.1603 | 15 | 6.67% | 1.4898 | 33.33% | -0.5256 | 3 | 8.20% | 1.4970 | 41.12% | -0.3761
PreviousDistinctContext | NeutralProcessing->ExhaustionPersistence+Age1 | 90 | 26.67% | 1.1441 | 48.89% | -0.0697 | 8 | 0.00% | 0.6616 | 62.50% | 0.0000 | 8 | 62.50% | 0.9003 | 62.50% | 0.0000 | 1 | 26.67% | 1.1441 | 48.89% | -0.0697
PreviousDistinctContext | NeutralProcessing->MixedStructure+Age1 | 2080 | 7.74% | 1.6588 | 42.07% | -0.2569 | 173 | 8.09% | 1.6505 | 43.35% | -0.2367 | 97 | 14.43% | 1.6924 | 35.05% | -0.3190 | 3 | 10.09% | 1.6672 | 40.16% | -0.2709
PreviousDistinctContext | NeutralProcessing->MixedStructure+Age2 | 161 | 10.56% | 1.4696 | 49.07% | -0.1104 | 14 | 14.29% | 1.5741 | 42.86% | -0.3071 | 14 | 14.29% | 1.3013 | 42.86% | -0.3673 | 3 | 13.04% | 1.4483 | 44.93% | -0.2616
PreviousDistinctContext | NeutralProcessing->ReassertionProcessing+Age1 | 1486 | 14.06% | 1.3091 | 46.97% | -0.1202 | 152 | 17.76% | 1.3265 | 36.84% | -0.1943 | 125 | 20.00% | 1.2816 | 45.60% | -0.0593 | 3 | 17.28% | 1.3057 | 43.14% | -0.1246
PreviousDistinctContext | NeutralProcessing->ReassertionProcessing+Age2 | 209 | 6.70% | 0.9971 | 49.28% | -0.1595 | 27 | 3.70% | 0.8230 | 51.85% | -0.1936 | 25 | 4.00% | 1.0386 | 52.00% | -0.1892 | 3 | 4.80% | 0.9529 | 51.04% | -0.1808
PreviousDistinctContext | NeutralProcessing->RecoveryResolution+Age1 | 67 | 0.00% | 0.6796 | 58.21% | -0.3984 | 1 | 0.00% | -0.0000 | 100.00% | 0.0000 | 2 | 0.00% | 0.6931 | 50.00% | 0.0000 | 1 | 0.00% | 0.6796 | 58.21% | -0.3984
PreviousDistinctContext | ReassertionProcessing->CompressionProcessing+Age1 | 107 | 75.70% | 0.5545 | 75.70% | 0.7140 | 7 | 71.43% | 0.5983 | 71.43% | 0.0000 | 5 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 75.70% | 0.5545 | 75.70% | 0.7140
PreviousDistinctContext | ReassertionProcessing->CompressionProcessing+Age2 | 81 | 69.14% | 0.8600 | 69.14% | 0.7623 | 5 | 20.00% | 0.5004 | 80.00% | 0.0000 | 5 | 60.00% | 0.6730 | 60.00% | 0.0000 | 1 | 69.14% | 0.8600 | 69.14% | 0.7623
PreviousDistinctContext | ReassertionProcessing->CompressionProcessing+Age3 | 56 | 60.71% | 0.9670 | 60.71% | 0.5167 | 1 | 0.00% | -0.0000 | 100.00% | 0.0000 | 3 | 66.67% | 0.6365 | 66.67% | 0.0000 | 1 | 60.71% | 0.9670 | 60.71% | 0.5167
PreviousDistinctContext | ReassertionProcessing->DestructiveRotation+Age1 | 251 | 7.97% | 1.7238 | 41.83% | -0.2865 | 30 | 13.33% | 1.6123 | 40.00% | -0.2952 | 26 | 19.23% | 1.5734 | 38.46% | -0.3012 | 3 | 13.51% | 1.6365 | 40.10% | -0.2943
PreviousDistinctContext | ReassertionProcessing->MixedStructure+Age1 | 560 | 11.43% | 1.5056 | 51.79% | -0.0919 | 66 | 10.61% | 1.3550 | 54.55% | -0.1047 | 47 | 6.38% | 1.2690 | 55.32% | -0.0912 | 3 | 9.47% | 1.3765 | 53.88% | -0.0959
PreviousDistinctContext | ReassertionProcessing->MixedStructure+Age2 | 64 | 7.81% | 1.0809 | 62.50% | 0.0316 | 7 | 0.00% | 0.7963 | 71.43% | 0.0000 | 3 | 0.00% | -0.0000 | 100.00% | 0.0000 | 1 | 7.81% | 1.0809 | 62.50% | 0.0316
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age1 | 831 | 61.01% | 1.0785 | 61.01% | 0.6183 | 70 | 54.29% | 1.0092 | 54.29% | 0.4586 | 67 | 65.67% | 0.9308 | 65.67% | 0.7351 | 3 | 60.32% | 1.0062 | 60.32% | 0.6040
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age11-20 | 158 | 75.95% | 0.8531 | 75.95% | 1.0429 | 6 | 50.00% | 1.2425 | 50.00% | 0.0000 | 15 | 66.67% | 1.0806 | 66.67% | 0.6619 | 2 | 71.31% | 0.9668 | 71.31% | 0.8524
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age2 | 507 | 57.79% | 1.0893 | 57.79% | 0.4790 | 38 | 65.79% | 0.9128 | 65.79% | 0.6574 | 44 | 65.91% | 0.9155 | 65.91% | 0.6578 | 3 | 63.16% | 0.9725 | 63.16% | 0.5980
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age3 | 293 | 60.75% | 1.0183 | 60.75% | 0.5823 | 25 | 72.00% | 0.5930 | 72.00% | 0.5845 | 29 | 58.62% | 0.7969 | 58.62% | 0.4470 | 3 | 63.79% | 0.8027 | 63.79% | 0.5380
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age4 | 178 | 100.00% | -0.0000 | 100.00% | 2.0000 | 18 | 100.00% | -0.0000 | 100.00% | 2.0000 | 17 | 100.00% | -0.0000 | 100.00% | 2.0000 | 3 | 100.00% | 0.0000 | 100.00% | 2.0000
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age5 | 178 | 85.96% | 0.6149 | 85.96% | 1.3759 | 18 | 88.89% | 0.3488 | 88.89% | 1.2745 | 17 | 100.00% | -0.0000 | 100.00% | 2.0000 | 3 | 91.61% | 0.3212 | 91.61% | 1.5502
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age6-10 | 503 | 77.73% | 0.8394 | 77.73% | 1.1233 | 39 | 66.67% | 1.0095 | 66.67% | 0.7061 | 53 | 77.36% | 0.8574 | 77.36% | 1.0687 | 3 | 73.92% | 0.9021 | 73.92% | 0.9660
PreviousDistinctContext | RecoveryResolution->CompressionProcessing+Age1 | 793 | 64.94% | 0.9873 | 64.94% | 0.5867 | 64 | 67.19% | 0.9164 | 67.19% | 0.6827 | 33 | 51.52% | 0.9845 | 51.52% | 0.3201 | 3 | 61.22% | 0.9627 | 61.22% | 0.5298
PreviousDistinctContext | RecoveryResolution->CompressionProcessing+Age2 | 515 | 60.19% | 1.1650 | 60.19% | 0.6436 | 43 | 46.51% | 1.3101 | 46.51% | 0.1990 | 17 | 64.71% | 1.0878 | 64.71% | 0.6183 | 3 | 57.14% | 1.1876 | 57.14% | 0.4870
PreviousDistinctContext | RecoveryResolution->CompressionProcessing+Age3 | 310 | 64.84% | 0.9375 | 64.84% | 0.7735 | 20 | 45.00% | 1.1922 | 45.00% | 0.0400 | 11 | 81.82% | 0.6002 | 81.82% | 1.0901 | 3 | 63.89% | 0.9100 | 63.89% | 0.6345
PreviousDistinctContext | RecoveryResolution->CompressionProcessing+Age4 | 201 | 37.31% | 1.6177 | 37.31% | -0.0317 | 9 | 33.33% | 1.5230 | 33.33% | 0.0000 | 9 | 11.11% | 1.7351 | 22.22% | 0.0000 | 1 | 37.31% | 1.6177 | 37.31% | -0.0317
PreviousDistinctContext | RecoveryResolution->CompressionProcessing+Age5 | 75 | 66.67% | 1.0807 | 66.67% | 0.7302 | 3 | 66.67% | 0.6365 | 66.67% | 0.0000 | 1 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 66.67% | 1.0807 | 66.67% | 0.7302
PreviousDistinctContext | RecoveryResolution->CompressionProcessing+Age6-10 | 102 | 52.94% | 1.4090 | 52.94% | 0.3347 | 2 | 0.00% | 0.6931 | 50.00% | 0.0000 | 2 | 50.00% | 0.6931 | 50.00% | 0.0000 | 1 | 52.94% | 1.4090 | 52.94% | 0.3347
PreviousDistinctContext | RecoveryResolution->NeutralProcessing+Age1 | 255 | 58.43% | 0.6789 | 58.43% | 0.1892 | 26 | 53.85% | 0.6902 | 53.85% | 0.0812 | 13 | 46.15% | 0.6902 | 53.85% | 0.0043 | 3 | 52.81% | 0.6864 | 55.37% | 0.0916
PreviousDistinctContext | RecoveryResolution->NeutralProcessing+Age2 | 149 | 51.01% | 0.8153 | 51.01% | 0.2780 | 14 | 50.00% | 0.6931 | 50.00% | 0.0000 | 6 | 66.67% | 0.6365 | 66.67% | 0.0000 | 2 | 50.50% | 0.7542 | 50.50% | 0.1390
PreviousDistinctContext | RecoveryResolution->NeutralProcessing+Age3 | 76 | 77.63% | 0.5315 | 77.63% | 0.7858 | 7 | 42.86% | 0.6829 | 57.14% | 0.0000 | 4 | 25.00% | 0.5623 | 75.00% | 0.0000 | 1 | 77.63% | 0.5315 | 77.63% | 0.7858
PreviousDistinctContext | RecoveryResolution->NeutralProcessing+Age4 | 59 | 86.44% | 0.5760 | 86.44% | 1.3709 | 3 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 86.44% | 0.5760 | 86.44% | 1.3709
PreviousDistinctContext | RecoveryResolution->NeutralProcessing+Age5 | 51 | 74.51% | 0.8373 | 74.51% | 0.8862 | 3 | 66.67% | 0.6365 | 66.67% | 0.0000 | 1 | 100.00% | -0.0000 | 100.00% | 0.0000 | 1 | 74.51% | 0.8373 | 74.51% | 0.8862
PreviousDistinctContext | RecoveryResolution->NeutralProcessing+Age6-10 | 104 | 71.15% | 0.9382 | 71.15% | 0.8402 | 8 | 75.00% | 0.7356 | 75.00% | 0.0000 | 3 | 66.67% | 0.6365 | 66.67% | 0.0000 | 1 | 71.15% | 0.9382 | 71.15% | 0.8402
ValidatedContext | B:RecoveryResolution->CompressionProcessing+Age3 | 310 | 64.84% | 0.9375 | 64.84% | 0.7735 | 20 | 45.00% | 1.1922 | 45.00% | 0.0400 | 11 | 81.82% | 0.6002 | 81.82% | 1.0901 | 3 | 63.89% | 0.9100 | 63.89% | 0.6345
ValidatedContext | C:RecoveryResolution->NeutralProcessing+Age1 | 255 | 58.43% | 0.6789 | 58.43% | 0.1892 | 26 | 53.85% | 0.6902 | 53.85% | 0.0812 | 13 | 46.15% | 0.6902 | 53.85% | 0.0043 | 3 | 52.81% | 0.6864 | 55.37% | 0.0916
ValidatedContext | D:DecayToNeutral->NeutralProcessing+Age4 | 233 | 86.27% | 0.6153 | 86.27% | 1.3819 | 15 | 80.00% | 0.6277 | 80.00% | 1.0286 | 23 | 86.96% | 0.5305 | 86.96% | 1.3564 | 3 | 84.41% | 0.5912 | 84.41% | 1.2557

Aggregate Arbitration Table
Instrument | TotalBars | ResolvedBars | UnresolvedBars | ClearCount | ModerateCount | AmbiguousCount | UnresolvedCount | MeanWinnerScore | MeanScoreMargin | MeanDominanceRatio
6E | 35260 | 34884 | 376 | 1955 | 7359 | 15550 | 10396 | 0.5006 | 0.1704 | 16.4340
CL | 2684 | 2387 | 297 | 346 | 665 | 705 | 968 | 0.3922 | 0.2482 | 4.0620
NQ | 1930 | 1630 | 300 | 298 | 439 | 519 | 674 | 0.4314 | 0.2669 | 2.3401

Aggregate Winner Stability Table
Instrument | MeanWinnerRunLength | MedianWinnerRunLength | MaxWinnerRunLength | ReplacementRate | FractalJumpRiskRate
6E | 1.0900 | 1.0000 | 54 | 91.74% | 42.08%
CL | 1.1277 | 1.0000 | 52 | 88.64% | 41.73%
NQ | 1.1973 | 1.0000 | 52 | 83.47% | 31.81%

Aggregate Conflict Table
Instrument | ConflictCount | ConflictRate | ContextOverrideCount | ValidatedOverrideCount | ClearConflictCount | AmbiguousConflictCount
6E | 32843 | 93.15% | 18603 | 723 | 1362 | 24410
CL | 1690 | 62.97% | 897 | 13 | 130 | 1077
NQ | 1040 | 53.89% | 453 | 2 | 48 | 638

Aggregate Outcome Diagnostics Table
WinnerType | AmbiguityClass | Count_6E | Skew_6E | MeanDR_6E | Count_CL | Skew_CL | MeanDR_CL | Count_NQ | Skew_NQ | MeanDR_NQ | ValidInstrumentCount | MeanSkew | MeanDR
CurrentStateAge | Ambiguous | 4953 | -2.52% | -0.0000 | 385 | 2.34% | 0.0266 | 314 | -0.64% | -1.9188 | 3 | -0.27% | -0.6307
CurrentStateAge | Clear | 850 | -2.47% | 0.0000 | 257 | 3.89% | 0.1175 | 272 | 9.56% | 2.1296 | 3 | 3.66% | 0.7490
CurrentStateAge | Moderate | 3677 | -1.93% | -0.0000 | 430 | 0.23% | 0.0698 | 267 | -10.86% | -13.3034 | 3 | -4.19% | -4.4112
CurrentStateAge | Unresolved | 4187 | -2.67% | -0.0000 | 341 | -7.04% | -0.2194 | 311 | 0.96% | -3.3368 | 3 | -2.92% | -1.1854
PreviousDistinctContext | Ambiguous | 8486 | -3.36% | -0.0000 | 302 | -2.98% | -0.0874 | 201 | -7.46% | -0.7898 | 3 | -4.60% | -0.2924
PreviousDistinctContext | Clear | 841 | -2.85% | -0.0000 | 83 | 0.00% | 0.0020 | 25 | 20.00% | 21.5900 | 3 | 5.72% | 7.1973
PreviousDistinctContext | Moderate | 2837 | -1.83% | -0.0000 | 204 | -0.98% | 0.0010 | 164 | -4.88% | -0.6555 | 3 | -2.56% | -0.2182
PreviousDistinctContext | Unresolved | 4298 | -1.23% | -0.0000 | 319 | -9.09% | -0.0276 | 60 | 6.67% | -4.0042 | 3 | -1.22% | -1.3439
Unresolved | Unresolved | 348 | -1.44% | -0.0000 | 294 | 4.08% | 0.0914 | 300 | -5.00% | -5.1125 | 3 | -0.79% | -1.6737
ValidatedContext | Ambiguous | 386 | 3.37% | 0.0000 | 5 | 20.00% | 0.0440 | 1 | 100.00% | 2.2500 | 1 | 3.37% | 0.0000
ValidatedContext | Moderate | 30 | 6.67% | -0.0000 | 4 | 50.00% | 0.2300 | 0 | 0.00% | 0.0000 | 1 | 6.67% | -0.0000
ValidatedContext | Unresolved | 209 | 1.44% | -0.0000 | 3 | -33.33% | -0.4433 | 1 | 100.00% | 23.2500 | 1 | 1.44% | -0.0000

Aggregate Fractal-Jump Proxy Table
Instrument | RiskCount | RiskRate | OutcomeSkewAfterRisk | MeanDRAfterRisk
6E | 14836 | 42.08% | -1.49% | -0.0000
CL | 1120 | 41.73% | -0.91% | 0.0080
NQ | 614 | 31.81% | -5.44% | -2.9914

1. Most reliable interpretation keys
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age3 | Score=2.0000
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age4 | Score=2.0000
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age1 | Score=1.8979
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age4 | Score=1.6894
CurrentStateAge | NeutralProcessing+Age4 | Score=1.5913
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age4 | Score=1.5198
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age5 | Score=1.4291
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age4 | Score=1.3927
ValidatedContext | D:DecayToNeutral->NeutralProcessing+Age4 | Score=1.3927
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age5 | Score=1.2635
CurrentStateAge | NeutralProcessing+Age5 | Score=1.2405
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age5 | Score=1.2188
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age11-20 | Score=1.1271
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age3 | Score=1.1242
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age6-10 | Score=1.0950
CurrentStateAge | NeutralProcessing+Age11-20 | Score=1.0823
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age5 | Score=1.0575
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age6-10 | Score=1.0380
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age6-10 | Score=1.0220
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age11-20 | Score=1.0112
CurrentStateAge | NeutralProcessing+Age6-10 | Score=0.9893
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age2 | Score=0.9786
CurrentStateAge | ExhaustionPersistence+Age2 | Score=0.9766
CurrentStateAge | NeutralProcessing+Age3 | Score=0.9733
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age6-10 | Score=0.9670

2. Lowest entropy interpretation keys
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age3 | Entropy=-0.0000
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age4 | Entropy=-0.0000
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age1 | Entropy=0.0567
PreviousDistinctContext | CompressionProcessing->RecoveryResolution+Age1 | Entropy=0.2932
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age4 | Entropy=0.3291
CurrentStateAge | NeutralProcessing+Age4 | Entropy=0.4478
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age2 | Entropy=0.4646
PreviousDistinctContext | MixedStructure->RecoveryResolution+Age1 | Entropy=0.4901
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age4 | Entropy=0.5150
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age5 | Entropy=0.5687
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age2 | Entropy=0.5700
CurrentStateAge | RecoveryResolution+Age2 | Entropy=0.5773
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age2 | Entropy=0.5773
CurrentStateAge | ExhaustionPersistence+Age2 | Entropy=0.5968
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age4 | Entropy=0.6360
ValidatedContext | D:DecayToNeutral->NeutralProcessing+Age4 | Entropy=0.6360
PreviousDistinctContext | RecoveryResolution->NeutralProcessing+Age1 | Entropy=0.6819
ValidatedContext | C:RecoveryResolution->NeutralProcessing+Age1 | Entropy=0.6819
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age3 | Entropy=0.6856
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age5 | Entropy=0.7001
CurrentStateAge | NeutralProcessing+Age5 | Entropy=0.7548
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age5 | Entropy=0.7714
PreviousDistinctContext | RecoveryResolution->NeutralProcessing+Age2 | Entropy=0.8041
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age11-20 | Entropy=0.8201
CurrentStateAge | NeutralProcessing+Age3 | Entropy=0.8421

3. Highest dominance-probability interpretation keys
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age3 | DominantProb=100.00%
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age4 | DominantProb=100.00%
PreviousDistinctContext | ExhaustionPersistence->RecoveryResolution+Age1 | DominantProb=98.98%
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age4 | DominantProb=93.65%
PreviousDistinctContext | CompressionProcessing->RecoveryResolution+Age1 | DominantProb=91.40%
CurrentStateAge | NeutralProcessing+Age4 | DominantProb=91.07%
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age4 | DominantProb=89.22%
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age5 | DominantProb=87.32%
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age4 | DominantProb=85.98%
ValidatedContext | D:DecayToNeutral->NeutralProcessing+Age4 | DominantProb=85.98%
PreviousDistinctContext | MixedStructure->NeutralProcessing+Age5 | DominantProb=82.71%
PreviousDistinctContext | MixedStructure->ExhaustionPersistence+Age2 | DominantProb=82.44%
CurrentStateAge | NeutralProcessing+Age5 | DominantProb=81.42%
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age3 | DominantProb=80.94%
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age5 | DominantProb=80.76%
PreviousDistinctContext | MixedStructure->RecoveryResolution+Age1 | DominantProb=80.73%
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age11-20 | DominantProb=77.43%
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age6-10 | DominantProb=76.97%
PreviousDistinctContext | DecayToNeutral->NeutralProcessing+Age5 | DominantProb=76.82%
CurrentStateAge | NeutralProcessing+Age11-20 | DominantProb=76.41%
CurrentStateAge | ExhaustionPersistence+Age2 | DominantProb=75.99%
PreviousDistinctContext | ExhaustionPersistence->NeutralProcessing+Age6-10 | DominantProb=75.00%
CurrentStateAge | NeutralProcessing+Age3 | DominantProb=74.83%
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age6-10 | DominantProb=74.70%
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age11-20 | DominantProb=74.30%

4. Most common winning interpretations
CurrentStateAge | NeutralProcessing+Age1 | Count=3149
CurrentStateAge | CompressionProcessing+Age1 | Count=2488
PreviousDistinctContext | NeutralProcessing->MixedStructure+Age1 | Count=2190
CurrentStateAge | NeutralProcessing+Age2 | Count=2136
CurrentStateAge | NeutralProcessing+Age6-10 | Count=1796
PreviousDistinctContext | NeutralProcessing->ReassertionProcessing+Age1 | Count=1692
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age1 | Count=1379
CurrentStateAge | NeutralProcessing+Age3 | Count=1228
CurrentStateAge | CompressionProcessing+Age2 | Count=1038
Unresolved | Unresolved | Count=973
PreviousDistinctContext | ReassertionProcessing->NeutralProcessing+Age1 | Count=882
CurrentStateAge | NeutralProcessing+Age4 | Count=800
